"Plot Title: HSLE"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20370966, SEN S/N: 20370966)","High Range, μS/cm (LGR S/N: 20370966, SEN S/N: 20370966)","Temp, °F (LGR S/N: 20370966, SEN S/N: 20370966)","Coupler Detached (LGR S/N: 20370966)","Coupler Attached (LGR S/N: 20370966)","Stopped (LGR S/N: 20370966)","End Of File (LGR S/N: 20370966)"
1,01/09/30 11:23:57 AM,2264.4,2362.6,69.75,,,,
2,01/09/30 11:53:57 AM,2226.3,2317.8,69.48,,,,
3,01/09/30 12:23:57 PM,2219.1,2310.3,69.39,,,,
4,01/09/30 12:53:57 PM,2217.1,2308.4,69.35,,,,
5,01/09/30 01:23:57 PM,2213.1,2302.2,69.33,,,,
6,01/09/30 01:53:57 PM,2208.0,2297.2,69.28,,,,
7,01/09/30 02:23:57 PM,2205.4,2294.1,69.28,,,,
8,01/09/30 02:53:57 PM,2203.9,2292.8,69.28,,,,
9,01/09/30 03:23:57 PM,2203.4,2292.2,69.26,,,,
10,01/09/30 03:53:57 PM,2202.9,2291.6,69.28,,,,
11,01/09/30 04:23:57 PM,2201.9,2290.3,69.26,,,,
12,01/09/30 04:53:57 PM,2201.4,2289.7,69.26,,,,
13,01/09/30 05:23:57 PM,2201.4,2289.1,69.26,,,,
14,01/09/30 05:53:57 PM,2199.9,2287.8,69.26,,,,
15,01/09/30 06:23:57 PM,2198.9,2286.0,69.26,,,,
16,01/09/30 06:53:57 PM,2197.8,2286.0,69.26,,,,
17,01/09/30 07:23:57 PM,2197.3,2284.1,69.26,,,,
18,01/09/30 07:53:57 PM,2196.8,2284.1,69.26,,,,
19,01/09/30 08:23:57 PM,2195.3,2282.2,69.26,,,,
20,01/09/30 08:53:57 PM,2194.3,2281.6,69.26,,,,
21,01/09/30 09:23:57 PM,2193.3,2280.3,69.26,,,,
22,01/09/30 09:53:57 PM,2192.8,2279.1,69.26,,,,
23,01/09/30 10:23:57 PM,2191.3,2278.5,69.26,,,,
24,01/09/30 10:53:57 PM,2190.2,2277.2,69.28,,,,
25,01/09/30 11:23:57 PM,2189.7,2274.7,69.28,,,,
26,01/09/30 11:53:57 PM,2188.7,2274.7,69.28,,,,
27,01/10/30 12:23:57 AM,2187.7,2274.7,69.28,,,,
28,01/10/30 12:53:57 AM,2187.7,2273.5,69.28,,,,
29,01/10/30 01:23:57 AM,2187.2,2272.9,69.31,,,,
30,01/10/30 01:53:57 AM,2186.2,2272.2,69.31,,,,
31,01/10/30 02:23:57 AM,2185.2,2271.0,69.31,,,,
32,01/10/30 02:53:57 AM,2185.2,2271.0,69.33,,,,
33,01/10/30 03:23:57 AM,2184.7,2269.7,69.33,,,,
34,01/10/30 03:53:57 AM,2184.2,2269.1,69.33,,,,
35,01/10/30 04:23:57 AM,2183.7,2268.5,69.35,,,,
36,01/10/30 04:53:57 AM,2182.1,2267.9,69.35,,,,
37,01/10/30 05:23:57 AM,2181.6,2267.2,69.35,,,,
38,01/10/30 05:53:57 AM,2181.1,2266.6,69.37,,,,
39,01/10/30 06:23:57 AM,2180.1,2266.0,69.37,,,,
40,01/10/30 06:53:57 AM,2180.1,2264.1,69.37,,,,
41,01/10/30 07:23:57 AM,2178.1,2264.1,69.37,,,,
42,01/10/30 07:53:57 AM,2177.6,2262.9,69.37,,,,
43,01/10/30 08:23:57 AM,2177.6,2262.2,69.39,,,,
44,01/10/30 08:53:57 AM,2177.1,2260.4,69.39,,,,
45,01/10/30 09:23:57 AM,2176.1,2260.4,69.39,,,,
46,01/10/30 09:53:57 AM,2175.1,2259.1,69.39,,,,
47,01/10/30 10:23:57 AM,2174.5,2257.9,69.39,,,,
48,01/10/30 10:53:57 AM,2173.5,2256.6,69.39,,,,
49,01/10/30 11:23:57 AM,2172.5,2256.6,69.39,,,,
50,01/10/30 11:53:57 AM,2171.5,2255.4,69.39,,,,
51,01/10/30 12:23:57 PM,2170.5,2254.1,69.39,,,,
52,01/10/30 12:53:57 PM,2169.5,2252.9,69.39,,,,
53,01/10/30 01:23:57 PM,2168.0,2251.6,69.39,,,,
54,01/10/30 01:53:57 PM,2166.5,2250.4,69.39,,,,
55,01/10/30 02:23:57 PM,2165.4,2248.5,69.37,,,,
56,01/10/30 02:53:57 PM,2164.4,2246.6,69.37,,,,
57,01/10/30 03:23:57 PM,2162.4,2245.4,69.37,,,,
58,01/10/30 03:53:57 PM,2162.4,2244.1,69.37,,,,
59,01/10/30 04:23:57 PM,2160.9,2242.9,69.37,,,,
60,01/10/30 04:53:57 PM,2159.9,2241.6,69.37,,,,
61,01/10/30 05:23:57 PM,2157.9,2239.8,69.35,,,,
62,01/10/30 05:53:57 PM,2157.3,2238.5,69.35,,,,
63,01/10/30 06:23:57 PM,2156.3,2236.6,69.35,,,,
64,01/10/30 06:53:57 PM,2154.8,2235.4,69.35,,,,
65,01/10/30 07:23:57 PM,2152.8,2234.8,69.33,,,,
66,01/10/30 07:53:57 PM,2152.3,2232.9,69.33,,,,
67,01/10/30 08:23:57 PM,2151.3,2231.0,69.33,,,,
68,01/10/30 08:53:57 PM,2150.3,2231.0,69.31,,,,
69,01/10/30 09:23:57 PM,2148.3,2229.2,69.31,,,,
70,01/10/30 09:53:57 PM,2147.7,2228.5,69.31,,,,
71,01/10/30 10:23:57 PM,2147.2,2227.3,69.31,,,,
72,01/10/30 10:53:57 PM,2146.2,2226.0,69.31,,,,
73,01/10/30 11:23:57 PM,2145.2,2225.4,69.31,,,,
74,01/10/30 11:53:57 PM,2143.2,2223.5,69.28,,,,
75,01/11/30 12:23:57 AM,2141.7,2222.3,69.31,,,,
76,01/11/30 12:53:57 AM,2141.2,2220.4,69.28,,,,
77,01/11/30 01:23:57 AM,2139.7,2219.8,69.28,,,,
78,01/11/30 01:53:57 AM,2138.7,2217.9,69.31,,,,
79,01/11/30 02:23:57 AM,2137.6,2216.7,69.31,,,,
80,01/11/30 02:53:57 AM,2136.6,2215.4,69.31,,,,
81,01/11/30 03:23:57 AM,2135.6,2214.2,69.31,,,,
82,01/11/30 03:53:57 AM,2135.1,2213.5,69.31,,,,
83,01/11/30 04:23:57 AM,2134.1,2211.7,69.31,,,,
84,01/11/30 04:53:57 AM,2132.1,2211.0,69.31,,,,
85,01/11/30 05:23:57 AM,2131.6,2209.8,69.31,,,,
86,01/11/30 05:53:57 AM,2131.1,2209.8,69.33,,,,
87,01/11/30 06:23:57 AM,2130.1,2207.9,69.31,,,,
88,01/11/30 06:53:57 AM,2129.1,2206.0,69.31,,,,
89,01/11/30 07:23:57 AM,2127.5,2205.4,69.31,,,,
90,01/11/30 07:53:57 AM,2126.0,2204.2,69.31,,,,
91,01/11/30 08:23:57 AM,2125.0,2202.9,69.31,,,,
92,01/11/30 08:53:57 AM,2123.5,2201.0,69.31,,,,
93,01/11/30 09:23:57 AM,2122.5,2199.8,69.31,,,,
94,01/11/30 09:53:57 AM,2121.5,2199.2,69.28,,,,
95,01/11/30 10:23:57 AM,2120.5,2197.9,69.28,,,,
96,01/11/30 10:53:57 AM,2119.5,2196.0,69.28,,,,
97,01/11/30 11:23:57 AM,2118.0,2194.2,69.28,,,,
98,01/11/30 11:53:57 AM,2115.9,2192.9,69.26,,,,
99,01/11/30 12:23:57 PM,2114.4,2190.4,69.26,,,,
100,01/11/30 12:53:57 PM,2113.9,2190.4,69.24,,,,
101,01/11/30 01:23:57 PM,2112.9,2188.5,69.24,,,,
102,01/11/30 01:53:57 PM,2111.4,2186.7,69.24,,,,
103,01/11/30 02:23:57 PM,2109.4,2184.8,69.22,,,,
104,01/11/30 02:53:57 PM,2107.9,2182.9,69.21,,,,
105,01/11/30 03:23:57 PM,2105.9,2181.0,69.21,,,,
106,01/11/30 03:53:57 PM,2104.9,2179.2,69.21,,,,
107,01/11/30 04:23:57 PM,2103.8,2178.5,69.17,,,,
108,01/11/30 04:53:57 PM,2102.3,2176.7,69.15,,,,
109,01/11/30 05:23:57 PM,2101.8,2174.8,69.15,,,,
110,01/11/30 05:53:57 PM,2100.3,2174.8,69.13,,,,
111,01/11/30 06:23:57 PM,2099.3,2172.9,69.13,,,,
112,01/11/30 06:53:57 PM,2097.8,2171.7,69.13,,,,
113,01/11/30 07:23:57 PM,2097.8,2171.0,69.12,,,,
114,01/11/30 07:53:57 PM,2096.3,2169.2,69.10,,,,
115,01/11/30 08:23:57 PM,2095.3,2167.9,69.10,,,,
116,01/11/30 08:53:57 PM,2093.3,2167.3,69.06,,,,
117,01/11/30 09:23:57 PM,2093.3,2165.4,69.06,,,,
118,01/11/30 09:53:57 PM,2092.3,2164.8,69.06,,,,
119,01/11/30 10:23:57 PM,2091.8,2164.2,69.04,,,,
120,01/11/30 10:53:57 PM,2090.8,2162.3,69.04,,,,
121,01/11/30 11:23:57 PM,2088.7,2161.0,69.06,,,,
122,01/11/30 11:53:57 PM,2087.2,2158.5,69.04,,,,
123,01/12/30 12:23:57 AM,2085.7,2157.3,69.04,,,,
124,01/12/30 12:53:57 AM,2084.7,2155.4,69.06,,,,
125,01/12/30 01:23:57 AM,2083.7,2154.8,69.04,,,,
126,01/12/30 01:53:57 AM,2083.7,2154.1,69.06,,,,
127,01/12/30 02:23:57 AM,2082.2,2153.5,69.06,,,,
128,01/12/30 02:53:57 AM,2081.2,2151.6,69.06,,,,
129,01/12/30 03:23:57 AM,2081.2,2151.0,69.06,,,,
130,01/12/30 03:53:57 AM,2080.2,2151.0,69.06,,,,
131,01/12/30 04:23:57 AM,2079.7,2149.8,69.10,,,,
132,01/12/30 04:53:57 AM,2079.2,2149.1,69.10,,,,
133,01/12/30 05:23:57 AM,2078.2,2147.9,69.10,,,,
134,01/12/30 05:53:57 AM,2077.7,2147.3,69.10,,,,
135,01/12/30 06:23:57 AM,2077.2,2146.0,69.12,,,,
136,01/12/30 06:53:57 AM,2075.7,2145.4,69.10,,,,
137,01/12/30 07:23:57 AM,2074.6,2144.1,69.12,,,,
138,01/12/30 07:53:57 AM,2073.6,2143.5,69.12,,,,
