"Plot Title: MSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","High Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","Temp, °C (LGR S/N: 20370967, SEN S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)"
86,07/11/18 05:59:04 AM,5264.9,5325.0,19.87,,,,
87,07/11/18 06:29:04 AM,5268.2,5325.7,19.87,,,,
88,07/11/18 06:59:04 AM,5268.2,5327.0,19.88,,,,
89,07/11/18 07:29:04 AM,5270.2,5328.9,19.88,,,,
90,07/11/18 07:59:04 AM,5273.5,5329.6,19.89,,,,
91,07/11/18 08:29:04 AM,5273.5,5331.5,19.89,,,,
92,07/11/18 08:59:04 AM,5276.8,5332.1,19.90,,,,
93,07/11/18 09:29:04 AM,5275.4,5334.1,19.90,,,,
94,07/11/18 09:59:04 AM,5279.4,5335.4,19.90,,,,
95,07/11/18 10:29:04 AM,5278.8,5337.3,19.91,,,,
96,07/11/18 10:59:04 AM,5282.1,5337.3,19.91,,,,
97,07/11/18 11:29:04 AM,5280.7,5337.9,19.93,,,,
98,07/11/18 11:59:04 AM,5283.4,5337.9,19.93,,,,
99,07/11/18 12:29:04 PM,5283.4,5337.9,19.93,,,,
100,07/11/18 12:59:04 PM,5283.4,5337.9,19.93,,,,
101,07/11/18 01:29:04 PM,5279.4,5337.9,19.94,,,,
102,07/11/18 01:59:04 PM,5282.7,5337.9,19.94,,,,
103,07/11/18 02:29:04 PM,5282.7,5339.2,19.94,,,,
104,07/11/18 02:59:04 PM,5282.7,5337.9,19.94,,,,
105,07/11/18 03:29:04 PM,5282.1,5337.9,19.95,,,,
106,07/11/18 03:59:04 PM,5282.1,5337.9,19.95,,,,
107,07/11/18 04:29:04 PM,5282.1,5337.9,19.95,,,,
108,07/11/18 04:59:04 PM,5282.1,5337.9,19.95,,,,
109,07/11/18 05:29:04 PM,5284.0,5337.3,19.96,,,,
110,07/11/18 05:59:04 PM,5284.0,5337.3,19.96,,,,
111,07/11/18 06:29:04 PM,5284.0,5337.3,19.96,,,,
112,07/11/18 06:59:04 PM,5280.1,5337.3,19.96,,,,
113,07/11/18 07:29:04 PM,5280.1,5336.7,19.96,,,,
114,07/11/18 07:59:04 PM,5284.0,5338.6,19.97,,,,
115,07/11/18 08:29:04 PM,5282.7,5337.3,19.97,,,,
116,07/11/18 08:59:04 PM,5282.7,5337.3,19.97,,,,
