Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-06-12 10:44:07	1		4.70844	31	0.28391	21.7	0	
* 2	2019-06-12 10:45:43	2		4.33344	31	-190.726	21.3	0.387	
* 3	2019-06-12 10:48:29	1		6.69815	61	0.395883	20.98	-0.188	
* 4	2019-06-12 10:50:04	2		6.78391	61	-1.44883	20.5	0.472	
* 5	2019-06-12 10:52:12	1		1.92769	51	96.08	20.3	0	
* 6	2019-06-12 10:53:47	2		1.5224	51	50.5718	20.1	0.507	
* 11	2019-06-12 11:05:27	1		14.6433	3	3.30532	19.86	-0.0946	
* 12	2019-06-12 11:07:02	2		7.69958	3	-1.0323	20.1	0.475	
* 13	2019-06-12 11:09:28	1		5.91341	70	20.6487	20.3667	-0.168333	
* 14	2019-06-12 11:11:03	2		4.16831	70	9.94531	20.1	0.505	
* 15	2019-06-12 11:13:33	1		1.1742	49	1488.44	20.1	6.93889e-17	
* 16	2019-06-12 11:15:08	2		1.09664	49	700.442	19.9	0.601	
* 17	2019-06-12 11:17:40	1		3.83396	89	959.18	19.7	0.666	
* 18	2019-06-12 11:19:15	2		2.1451	89	724.852	19.5	0.66	
* 19	2019-06-12 11:21:31	1		19.1373	18	-1202.68	19.5	-0.133667	
* 20	2019-06-12 11:23:06	2		21.992	18	14.5315	19.5	0.419	
* 23	2019-06-12 11:28:50	1		6.48576	20	-0.947101	19.9	0.415	
* 24	2019-06-12 11:30:25	2		3.75971	20	0.704399	19.9	0.415	
* 25	2019-06-12 11:33:14	1		11.7827	69	427.436	19.9	0.59	
* 26	2019-06-12 11:34:49	2		3.81359	69	118.495	20.1	0.588	
* 27	2019-06-12 11:48:32	1		4.78392	1	63359.7	20.34	0.6042	
* 28	2019-06-12 11:50:06	2		3.25009	1	13562.2	20.1	0.603	
* 29	2019-06-12 11:53:35	1		11.17	32	633.633	19.78	0.5706	
* 30	2019-06-12 11:55:10	2		10.2208	32	523.667	19.7	0.569	
* 31	2019-06-12 11:57:25	1		1.69834	62	31.9413	19.7	0.569	
* 32	2019-06-12 11:59:00	2		1.62081	62	14.6377	19.7	0.565	
* 33	2019-06-12 12:01:41	1		5.13916	71	232.424	19.7	0.475	
* 34	2019-06-12 12:03:16	2		3.63874	71	140.224	19.7	0.475	
* 35	2019-06-12 12:06:09	1		9.00101	17	108.004	19.5	0.465	
* 36	2019-06-12 12:07:45	2		3.2056	17	12.5929	19.7	0.463	
* 37	2019-06-12 12:10:46	1		6.52946	92	26.3834	19.9	0.536	
* 38	2019-06-12 12:12:22	2		4.77641	92	23.6682	19.9	0.536	
* 39	2019-06-12 12:15:35	1		3.77533	63	2.59373	20.22	0.5562	
* 40	2019-06-12 12:17:10	2		3.44154	63	9668.68	20.3	0.555	
* 43	2019-06-12 12:23:27	1		6.64093	30	2.69551	20.5	-0.0834	
* 44	2019-06-12 12:25:02	2		4.28988	30	5.13655	20.5	0.417	
* 45	2019-06-12 12:27:39	1		7.48688	72	158.568	20.5	0.596	
* 46	2019-06-12 12:29:15	2		4.17614	72	48.5415	20.7	0.595	
* 47	2019-06-12 12:32:50	1		12.5056	19	48.4667	20.7	0.501	
* 48	2019-06-12 12:34:25	2		2.76637	19	16.5286	20.7	0.5	
* 49	2019-06-12 12:37:17	1		10.1927	91	10357.9	20.7	0.001	
* 50	2019-06-12 12:38:52	2		3.48151	91	1835.92	20.9	0.527	
* 51	2019-06-12 12:42:33	1		5.2213	64	-7.64723	21.1	4.16334e-17	
* 52	2019-06-12 12:44:08	2		2.75057	64	-4.30355	21.1	0.475	
* 53	2019-06-12 12:47:22	1		48.0437	4	-188.676	20.9	0.007	
* 54	2019-06-12 12:48:57	2		13.3545	4	10.4699	20.9	0.448	
* 55	2019-06-12 12:51:30	1		8.51157	90	1002.97	20.9	0.3936	
* 56	2019-06-12 12:53:06	2		3.9556	90	886.079	20.9	0.585	
* 57	2019-06-12 12:56:09	1		7.95971	29	74517.7	21.1	0.583	
* 58	2019-06-12 12:57:45	2		3.44742	29	16233.7	21.5	0.583	
* 59	2019-06-12 13:01:14	1		2.58825	52	-32.7595	21.3	0.221	
* 60	2019-06-12 13:02:50	2		1.86074	52	40.8126	21.3	0.272	
* 61	2019-06-12 13:05:40	1		3.05192	50	2507.86	21.3	0.515	
* 62	2019-06-12 13:07:16	2		1.51006	50	33.1907	21.3	0.515	
