Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2020-01-30 16:05:05	1		1.10182	39	-0.462133	8	0	
* 2	2020-01-30 16:06:31	2		1.02492	39	-0.426583	7.7	0	
* 3	2020-01-30 16:10:01	1		0.910255	81	-0.660549	7.1	0	
* 4	2020-01-30 16:11:26	2		0.646003	81	-0.586407	6.9	0	
* 5	2020-01-30 16:13:40	1		0.314743	47	-0.176591	6.6	0	
* 6	2020-01-30 16:15:05	2		0.388447	47	-0.234494	6.2	0	
* 7	2020-01-30 16:17:58	1		0.473093	38	-0.395474	5.8	0	
* 8	2020-01-30 16:19:24	2		0.590942	38	-0.533545	5.6	0	
* 9	2020-01-30 16:22:17	1		0.626539	48	-0.34546	5.4	0	
* 10	2020-01-30 16:23:43	2		0.709871	48	-0.362096	5.3	0	
* 11	2020-01-30 16:26:39	1		0.633475	82	-0.649536	5.2	0	
* 12	2020-01-30 16:28:05	2		0.638314	82	-0.698728	5.1	0	
* 13	2020-01-30 16:30:56	1		1.14586	37	-0.866439	5.03182	0	
* 14	2020-01-30 16:32:22	2		0.99079	37	-0.868819	4.9	0	
* 15	2020-01-30 16:35:33	1		0.35481	66	-0.319928	4.7	0	
* 16	2020-01-30 16:36:58	2		0.411192	66	-0.335656	4.8	0	
* 17	2020-01-30 16:40:31	1		0.684982	83	-0.329749	4.8	0	
* 18	2020-01-30 16:41:56	2		0.496585	83	-0.322047	4.7	0	
* 19	2020-01-30 16:44:33	1		0.354451	67	-0.359581	4.7	0	
* 21	2020-01-30 16:48:35	1		0.413361	65	-0.324349	4.5	0	
* 22	2020-01-30 16:50:01	2		0.437812	65	-0.327984	4.4	0	
* 23	2020-01-30 16:52:27	1		1.01388	45	-0.619963	4.3	0	
* 24	2020-01-30 16:53:53	2		0.719105	45	-0.600705	4.2	0	
* 25	2020-01-30 16:55:55	1		0.812483	46	-0.727769	4.2	0	
* 26	2020-01-30 16:57:21	2		0	46	0	4.1	0	
* 27	2020-01-30 16:59:46	1		0.7207	40	-0.791213	4.1	0	
* 28	2020-01-30 17:01:12	2		0.767608	40	-0.720354	4.1	0	
* 29	2020-01-30 17:03:53	1		0.90623	84	-0.888623	4.2	0	
* 30	2020-01-30 17:05:18	2		0.740104	84	-0.888809	4.2	0	
* 31	2020-01-30 17:07:29	1		0.50369	68	-0.731517	4.3	0	
* 37	2020-01-31 11:33:26	1		0.72756	57	-0.32457	9.3	0.06	
* 38	2020-01-31 11:34:51	2		0.760929	57	-0.310167	9.1	0.049	
* 39	2020-01-31 11:38:26	1		0.297162	88	-0.295669	8.1	0.035	
* 40	2020-01-31 11:39:52	2		0.376182	88	-0.366819	7.8	0.188	
* 41	2020-01-31 11:44:07	1		0.769146	44	-0.549983	7.2	0.006	
* 42	2020-01-31 11:45:33	2		0.753811	44	-0.595468	7	0.006	
* 43	2020-01-31 11:49:58	1		0.403239	56	-0.87648	6.6	0.018	
* 44	2020-01-31 11:51:23	2		0.793066	56	-1.04434	6.3	0.017	
* 45	2020-01-31 11:54:44	1		1.13091	54	-1.90658	6.4	0	
* 46	2020-01-31 11:56:10	2		1.23473	54	-2.04711	6.4	0	
* 47	2020-01-31 12:00:13	1		1.04446	53	-0.669576	6.42	0	
* 48	2020-01-31 12:01:38	2		1.25622	53	-0.827623	6.3	0	
* 49	2020-01-31 12:04:38	1		0.284936	42	-0.445335	6.2	0	
* 50	2020-01-31 12:06:04	2		0.443407	42	-0.79022	6.2	0	
* 51	2020-01-31 12:09:44	1		0	86	0	6.1	0	
* 52	2020-01-31 12:11:09	2		0.584948	86	-0.435839	6.1	0	
* 53	2020-01-31 12:16:01	1		0.486476	55	-0.555754	6.1	0	
* 54	2020-01-31 12:17:27	2		0.658197	55	-0.60515	6	0	
* 55	2020-01-31 12:21:00	1		0.77483	43	-0.802095	6.1	0	
* 56	2020-01-31 12:22:25	2		1.05996	43	-0.96415	6.1	0	
* 57	2020-01-31 12:25:52	1		0	58	0	6.2	0	
* 58	2020-01-31 12:27:18	2		0	58	0	6.18	0	
* 59	2020-01-31 12:30:01	1		0.714787	85	-0.77993	6.3	0	
* 60	2020-01-31 12:31:27	2		0.886374	85	-0.963507	6.3	0	
* 61	2020-01-31 12:34:47	1		1.66966	60	-1.2462	6.4	0	
* 62	2020-01-31 12:36:13	2		1.26099	60	-1.11393	6.32	0	
* 63	2020-01-31 12:40:45	1		4.9698	59	-1.12748	6.2	0	
* 64	2020-01-31 12:42:11	2		0.804637	59	-3.21709	6.2	0	
* 65	2020-01-31 12:45:37	1		1.37432	41	-1.19732	6.2	0	
* 66	2020-01-31 12:47:02	2		1.14721	41	-1.18861	6.2	0	
* 67	2020-01-31 12:50:02	1		0.724076	87	-0.705968	6.4	0	
* 68	2020-01-31 12:51:27	2		0.855773	87	-0.761369	6.5	0	
* 69	2020-02-20 10:59:55	1		1.41873	50	-1.80081	8.6	0.005	
* 70	2020-02-20 11:01:20	2		1.12258	50	-0.0702675	8.3	0.007	
* 71	2020-02-20 11:03:38	1		2.69163	4	-0.0787637	7.5	0	
* 72	2020-02-20 11:05:03	2		3.71854	4	-0.104672	7.4	0	
* 73	2020-02-20 11:06:58	1		0.355562	29	-0.0614059	7	0.001	
* 74	2020-02-20 11:08:24	2		0.358256	29	-0.0728419	6.7	0	
* 75	2020-02-20 11:10:26	1		0.4211	52	-0.070812	6.52727	-0.000818182	
* 76	2020-02-20 11:11:52	2		0.379347	52	-2.37857	6.3	0.001	
* 77	2020-02-20 11:14:04	1		0.670845	90	0.0189131	6.2	0	
* 78	2020-02-20 11:15:30	2		0.960959	90	0.00335232	6.1	0	
