Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2020-02-21 10:47:44	10	7-3	0	0	6.1	0.738768	-0.437728	
2020-02-21 10:49:09	10	7-3	0.017	0.039	6	0.562826	-0.36409	
2020-02-21 11:01:37	100	6-9	0	0.005	6	1.95148	-0.266765	
2020-02-21 11:03:02	100	6-9	0	0.0022	6.06	2.09115	-0.238596	
2020-02-21 12:45:59	109	6-8	-0.0024	-0.0324	8.22	0.771281	-1.4563	
2020-02-21 12:47:24	109	6-8	0.012	0.16	7.8	1.03746	-1.64756	
2020-02-21 11:29:26	11	6-7	0	0	6.9	1.30186	-0.169789	
2020-02-21 11:30:51	11	6-7	0	0	7	0.989777	-0.158724	
2020-02-21 12:42:47	110	6-8	0	0	7.8	0.56771	-0.791174	
2020-02-21 12:44:12	110	6-8	0	0	8.1	0.65939	-2.12578	
2020-02-21 12:39:39	111	6-7	0	0	8	0.967245	-2.00432	
2020-02-21 12:41:04	111	6-7	0	0	7.8	0.989766	-2.20083	
2020-02-21 12:49:17	112	6-4	0	0	7.6	0.389362	-0.918816	
2020-02-21 12:50:42	112	6-4	0	0	7.5	0.568415	-1.47767	
2020-02-21 12:32:56	113	6-3	0	0	7.1	0.483762	-0.470931	
2020-02-21 12:34:22	113	6-3	0	0	7.3	0.696544	-0.65159	
2020-02-21 12:36:06	114	6-4	0	0	7.4	0.695096	-0.797843	
2020-02-21 12:37:32	114	6-4	0	0	7.6	0.500566	-0.591617	
2020-02-21 12:29:39	115	6-4	0	0	6.3	0.5961	-0.850266	
2020-02-21 12:31:05	115	6-4	0	0	6.5	0.646834	-0.829139	
2020-02-21 12:26:25	116	6-2	0	0	5.4	0.248913	-1.8577	
2020-02-21 12:27:51	116	6-2	0	0	5.6	0.462618	-0.666705	
2020-02-21 11:46:35	117	6-5	0	0	6.3	1.11735	-1.36672	
2020-02-21 11:48:01	117	6-5	0	0	6.22	1.39517	-1.43906	
2020-02-21 11:56:22	118	6-1	0	0	7	1.10262	-0.956254	
2020-02-21 11:57:48	118	6-1	0	0.001	6.9	1.1017	-0.772877	
2020-02-21 11:52:58	119	6-5	0.0227273	0.163636	6.7	0.939444	-1.31506	
2020-02-21 11:54:23	119	6-5	0	0	6.9	0.714593	-1.96452	
2020-02-21 10:54:35	12	7-3	0	0	5.9	1.13391	-0.134209	
2020-02-21 10:56:01	12	7-3	0	0.0288	5.8	1.20125	1.45351	
2020-02-21 11:49:47	120	5-9	0	0	6.6	0.85617	-1.1408	
2020-02-21 11:51:12	120	5-9	0.02	0.152	6.7	1.28965	-1.05893	
2020-02-21 11:59:40	121	6-2	0	0	6.5	1.14769	-1.1314	
2020-02-21 12:01:05	121	6-2	0	0	6.28182	1.34204	-1.21863	
2020-02-21 12:06:30	122	5-9	0	0	6.1	0.768369	-1.97134	
2020-02-21 12:07:55	122	5-9	0	0	6.1	0.635699	-1.92716	
2020-02-21 12:09:48	123	6-4	0	0	6.5	1.2969	-1.85345	
2020-02-21 12:11:14	123	6-4	0	0	6.3	1.29978	-1.84833	
2020-02-21 12:03:00	124	6-3	0	0	6.23333	0.585707	-1.09793	
2020-02-21 12:04:26	124	6-3	0	0	6.1	0.631473	-1.13284	
2020-02-21 13:33:52	13	7-7	0	0	9.2	0.773245	-0.14653	
2020-02-21 13:35:18	13	7-7	0.012	0.044	9.2	0.531257	-0.271737	
2020-02-21 13:20:16	14	7-9	0	0.003	10.2	1.10549	-0.110539	
2020-02-21 13:21:41	14	7-9	0	0.003	10.2	1.03731	-0.273243	
2020-02-21 13:37:14	15	7-9	0.024	0.112	9.1	0.247368	-0.00255294	
2020-02-21 13:38:39	15	7-9	0.027	0.118	9.1	0.470871	-0.0144533	
2020-02-21 13:10:18	16	7-4	0.029	0.079	10.2	0.865035	-0.0967476	
2020-02-21 13:11:44	16	7-4	0.031	0.098	10.2	0.398189	-0.0625569	
2020-02-21 11:33:05	21	7-0	0	6.50521e-19	6.9	0.495419	-0.390453	
2020-02-21 11:34:31	21	7-0	0	0.007	6.9	0.630437	-0.348022	
2020-02-21 10:44:17	22	7-2	0.047	0.391	6.1	0.492314	-0.0402725	
2020-02-21 10:45:43	22	7-2	0.044	0.42	6.1	0.559033	-0.0332592	
2020-02-21 11:42:53	23	6-8	0	0.001	6.5	0.688628	-0.270648	
2020-02-21 11:44:19	23	6-8	0	0	6.4	1.03735	-0.225272	
2020-02-21 11:12:51	24	6-7	0	0	6.6	0.457147	-0.178322	
2020-02-21 11:14:17	24	6-7	0	0	6.6	0.802745	-0.256649	
2020-02-21 11:09:06	25	7-1	0	0	6.6	1.35319	-0.324024	
2020-02-21 11:10:32	25	7-1	0	0	6.6	2.29967	-1.20969	
2020-02-21 10:58:10	26	7-0	0	0.012	5.8	1.03418	-0.133414	
2020-02-21 10:59:36	26	7-0	0	0.01	5.9	0.965273	-0.148654	
2020-02-21 10:39:30	27	7-2	0.034	0.105	6.7	0.348837	20.5673	
2020-02-21 10:40:56	27	7-2	0.035	0.114	6.5	0.307513	0.11995	
2020-02-21 11:36:34	28	6-5	0	0	6.6	0.67702	-0.422259	
2020-02-21 11:37:59	28	6-5	0	0	6.6	0.57064	-0.400969	
2020-02-21 13:58:26	33	7-2	0.01	0.228	7.4	2.43723	-1.64356	
2020-02-21 13:59:51	33	7-2	0.011	0.228	7.5	1.23797	-0.467872	
2020-02-21 13:43:48	34	7-3	0.002	0.005	8.2	0.535334	-0.232533	
2020-02-21 13:45:14	34	7-3	0.024	0.125	7.7	1.08823	-0.331327	
2020-02-21 13:30:25	35	8-0	0.035	0.197	9.5	1.22939	-0.177826	
2020-02-21 13:31:50	35	8-0	0.028	0.108	9.3	1.20422	-2.65659	
2020-02-21 13:03:38	36	7-3	0.021	0.09	7.8	1.14657	-0.148118	
2020-02-21 13:05:04	36	7-3	0.0222	0.1062	8.18	1.01621	-0.15621	
2020-02-21 13:00:17	5	7-0	0	0	7.5	2.1924	-0.849706	
2020-02-21 13:01:43	5	7-0	0	0	7.5	1.82504	-0.795458	
2020-02-21 12:53:08	6	8-2	0	0	7.4	1.18523	-0.691681	
2020-02-21 12:54:33	6	8-2	0	0	7.7	1.45818	-0.743412	
2020-02-21 13:26:57	7	7-7	0	0.01	9.7	0.521367	-0.277255	
2020-02-21 13:28:23	7	7-7	0.026	0.086	9.6	0.643982	-0.34451	
2020-02-21 13:23:31	73	7-7	0	0.006	10.1	1.41519	-0.0918479	
2020-02-21 13:24:57	73	7-7	0	0.008	9.9	1.49017	-0.165786	
2020-02-21 13:13:38	74	7-7	0	0	10.3	0.864732	-0.99753	
2020-02-21 13:15:05	74	7-7	0.01	0.004	10.4	1.04421	-0.10892	
2020-02-21 13:46:52	75	7-5	0.023	0.13	7.6	1.39578	-0.0096385	
2020-02-21 13:48:17	75	7-5	0	0.008	7.5	1.28411	0.0429384	
2020-02-21 13:06:53	76	7-2	0.02	0.069	9.3	1.37451	-0.49075	
2020-02-21 13:08:19	76	7-2	0.019	0.054	9.9	1.43547	-0.57032	
2020-02-21 11:25:54	77	6-7	0.018	0.132	6.5	0.674624	-0.253381	
2020-02-21 11:27:19	77	6-7	0.006	0.192	6.7	0.502958	-0.300713	
2020-02-21 10:51:09	78	7-5	0.047	0.302	5.9	1.24571	-0.1033	
2020-02-21 10:52:35	78	7-5	0.003	0.039	5.9	1.5011	-0.109552	
2020-02-21 11:16:05	79	6-3	0	0	6.6	1.29713	-1.00511	
2020-02-21 11:17:30	79	6-3	0	0	6.6	2.1671	-0.998499	
