Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-12-20 09:42:34	1		-0.0534602	56	-0.841646	10.7	0.015	
* 2	2019-12-20 09:43:59	2		0.407653	56	-1.38433	9	0.005	
* 3	2019-12-20 09:46:39	1		0.500836	106	-1.99614	7.7	0	
* 4	2019-12-20 09:48:05	2		0.667435	106	-0.59558	6.5	0.016	
* 5	2019-12-20 09:50:04	1		0.841056	44	-0.845957	5.7	0	
* 6	2019-12-20 09:51:30	2		0.515202	44	-0.763169	5.2	0	
* 7	2019-12-20 09:53:43	1		0.702557	88	-0.605028	4.5	0	
* 8	2019-12-20 09:55:09	2		0.730321	88	-0.586013	3.7	0.008	
* 9	2019-12-20 09:57:13	1		2.18122	57	-1.3043	3.1	0.004	
* 10	2019-12-20 09:58:38	2		1.54546	57	-1.22621	2.8	0.004	
* 12	2019-12-20 10:02:44	2		0.797289	43	-0.872614	2	0	
* 13	2019-12-20 10:04:46	1		0.609424	105	-0.549516	1.71364	0	
* 14	2019-12-20 10:06:12	2		0.522714	105	-0.768742	1.4	0	
* 15	2019-12-20 10:08:15	1		0.674682	55	-0.715387	1.1	0.004	
* 16	2019-12-20 10:09:42	2		0.775282	55	-0.681891	1.1	0.004	
* 17	2019-12-20 10:11:44	1		0.382352	86	-0.397507	0.9	0.004	
* 18	2019-12-20 10:13:10	2		0.617605	86	-0.454336	0.7	0	
* 19	2019-12-20 10:15:29	1		0.702013	54	-1.64041	0.6	0	
* 20	2019-12-20 10:16:55	2		1.32658	54	-2.63517	0.6	0	
* 21	2019-12-20 10:18:56	1		0.46824	108	-0.562351	0.6	0	
* 22	2019-12-20 10:20:22	2		0.489642	108	-0.598744	0.6	0	
* 23	2019-12-20 10:22:21	1		0.470775	42	-0.602208	0.6	0	
* 24	2019-12-20 10:23:47	2		0.385074	42	-0.733012	0.6	0	
* 25	2019-12-20 10:25:45	1		0.804228	53	-0.597925	0.6	0	
* 26	2019-12-20 10:27:11	2		0.945142	53	-0.780105	0.5	0	
* 27	2019-12-20 10:29:25	1		0.442093	87	-0.562987	0.5	0	
* 28	2019-12-20 10:30:51	2		0.702164	87	-0.705479	0.5	0	
* 29	2019-12-20 10:32:44	1		1.29588	41	-1.60827	0.5	0	
* 30	2019-12-20 10:34:10	2		1.49375	41	-1.46083	0.5	0	
* 31	2019-12-20 10:36:12	1		0.559452	59	-0.533812	0.5	0	
* 32	2019-12-20 10:37:39	2		0.635412	59	-0.53687	0.5	0	
* 33	2019-12-20 10:39:38	1		0.240686	107	-0.189555	0.4	0	
* 34	2019-12-20 10:41:04	2		0.349039	107	-0.300948	0.4	0	
* 35	2019-12-20 10:43:15	1		0.508329	60	-0.525794	0.4	0	
* 36	2019-12-20 10:44:41	2		0.56385	60	-0.593304	0.5	0	
* 37	2019-12-20 10:46:46	1		0.574812	85	-0.784914	0.586364	0	
* 38	2019-12-20 10:48:12	2		0.409475	85	-0.851828	0.8	0	
* 39	2019-12-20 10:50:04	1		0.292182	58	-0.333283	1	0	
* 40	2019-12-20 10:51:30	2		0.677553	58	-0.585266	0.9	0	
* 41	2019-12-20 12:31:21	1		1.04687	50	3.28667	10.8	0	
* 42	2019-12-20 12:32:47	2		0.273196	50	-0.0447008	10.0818	0	
* 43	2019-12-20 12:34:54	1		1.62224	4	-0.546712	8.39333	0	
* 44	2019-12-20 12:36:19	2		2.09081	4	-0.628867	7.7	0	
* 45	2019-12-20 12:38:13	1		0.642288	90	0.168186	7.3	0	
* 46	2019-12-20 12:39:39	2		0.782468	90	0.344414	7	0	
* 48	2019-12-20 12:43:51	1		0.546356	29	0.0709127	6.13333	0	
* 49	2019-12-20 12:45:16	2		0.501916	29	0.0434786	5	0	
* 50	2019-12-20 12:47:05	1		0.391269	52	-0.430819	4.4	0	
* 51	2019-12-20 12:48:31	2		0.372435	52	-0.0100326	4.2	0	
* 52	2019-12-20 12:50:43	1		1.01581	91	0.66166	4	0	
* 53	2019-12-20 12:52:09	2		1.34814	91	0.783848	3.8	0	
* 54	2019-12-20 12:53:55	1		0.771124	19	-0.147825	3.54	0	
* 55	2019-12-20 12:55:20	2		0.505237	19	-0.180107	3.4	0	
* 57	2019-12-20 12:58:35	2		0.663412	72	-0.183931	3.3	0	
* 58	2019-12-20 13:00:22	1		0.755183	64	-0.233643	3.3	0	
* 59	2019-12-20 13:01:47	2		1.50838	64	-0.217803	3.52273	0	
* 60	2019-12-20 13:03:51	1		2.365	2	-0.674325	3.43333	0	
* 61	2019-12-20 13:05:16	2		0.43442	2	-0.243363	3.2	0	
* 62	2019-12-20 13:07:14	1		1.52071	30	-0.400516	3.2	0	
* 63	2019-12-20 13:08:39	2		1.03226	30	-0.354917	3.1	0	
* 64	2019-12-20 13:10:38	1		2.17241	92	-1.25701	2.9	0	
* 65	2019-12-20 13:12:04	2		0.819166	92	-0.573418	2.9	0	
* 66	2019-12-20 13:14:13	1		1.07434	17	0.37807	2.9	0	
* 67	2019-12-20 13:15:39	2		1.13208	17	0.448532	2.9	0	
* 68	2019-12-20 13:17:29	1		4.54865	63	-0.123467	3	0	
* 69	2019-12-20 13:18:55	2		2.85107	63	-0.108408	2.9	0	
* 70	2019-12-20 13:20:56	1		0.550028	71	2.38969	2.9	0	
* 71	2019-12-20 13:22:23	2		0.74617	71	3.38253	2.9	0	
* 72	2019-12-20 13:24:17	1		1.3687	1	-0.136901	2.8	0	
* 73	2019-12-20 13:25:42	2		1.19735	1	-0.10577	2.8	0	
* 74	2019-12-20 13:27:28	1		1.023	69	-0.365795	2.8	0	
* 77	2019-12-20 13:32:02	2		0.799822	62	-0.138309	2.2	0	
* 78	2019-12-20 13:33:44	1		1.32085	32	-0.425778	2.1	0	
* 79	2019-12-20 13:35:10	2		0.982354	32	-0.392737	2.1	0	
* 80	2019-12-20 13:45:31	1		1.11016	20	-0.544639	2.2	0	
* 81	2019-12-20 13:46:56	2		1.06629	20	-0.511133	2.2	0	
* 82	2019-12-20 13:49:13	1		2.31438	18	-0.487035	2.2	0	
* 83	2019-12-20 13:50:39	2		1.36045	18	-0.247375	2.1	0	
* 84	2019-12-20 13:52:47	1		0.90554	3	-0.423675	2	0	
* 85	2019-12-20 13:54:13	2		0.807412	3	-0.602257	2	0	
* 87	2019-12-20 13:57:34	2		0.77148	70	-0.291804	2.2	0	
* 88	2019-12-20 13:59:35	1		1.18258	49	0.0692008	2.4	0	
* 89	2019-12-20 14:01:01	2		0.955372	49	0.0283062	2.4	0	
* 90	2019-12-20 14:02:56	1		0.687912	89	0.211261	2.4	0	
* 91	2019-12-20 14:04:22	2		0.899031	89	0.292078	2.5	0	
* 92	2019-12-20 14:06:22	1		0.868625	31	-0.585084	2.4	0	
* 93	2019-12-20 14:07:47	2		1.09275	31	-0.646646	2.4	0	
* 94	2019-12-20 14:09:37	1		0.446764	61	-0.290781	2.2	0	
* 95	2019-12-20 14:11:03	2		0.6297	61	-0.363055	2.3	0	
* 96	2019-12-20 14:13:05	1		0.540203	51	-0.260732	2.3	0	
* 97	2019-12-20 14:14:30	2		0.49335	51	-0.179413	2.4	0	
