Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2020-02-20 13:30:57	1		1.58408	37_2	-1.37395	7.7	0	
* 2	2020-02-20 13:32:23	2		1.31149	37_2	-1.21094	7.3	0	
* 3	2020-02-20 13:34:11	1		0	82	0	7	0	
* 4	2020-02-20 13:35:36	2		0.877287	82	-0.798654	6.7	0	
* 5	2020-02-20 13:37:48	1		0.595226	66	-0.327921	6.4	0	
* 6	2020-02-20 13:39:14	2		0	66	0	6	0	
* 7	2020-02-20 13:41:09	1		0.394379	104	-0.192515	5.7	0	
* 8	2020-02-20 13:42:34	2		0.299699	104	-0.23271	5.6	0	
* 9	2020-02-20 13:44:39	1		0.412111	48	-0.219393	5.3	0	
* 10	2020-02-20 13:46:05	2		0.706238	48	-0.366564	5.1	0	
* 11	2020-02-20 13:48:10	1		0.587109	83	-0.228283	5	0	
* 12	2020-02-20 13:49:36	2		0	83	0	5	0	
* 13	2020-02-20 13:51:28	1		0.754717	38	-0.553472	5.1	0	
* 14	2020-02-20 13:52:53	2		1.02393	38	-0.839812	4.97273	0	
* 15	2020-02-20 13:55:03	1		0.691945	47	-0.37821	5	0	
* 16	2020-02-20 13:56:29	2		0.786759	47	-0.348281	5	0	
* 17	2020-02-20 14:00:11	1		0.932372	81	-0.541669	5.1	0	
* 18	2020-02-20 14:01:36	2		0.920621	81	-0.65563	5.1	0	
* 19	2020-02-20 14:03:37	1		1.9428	39	-0.81648	5.1	0	
* 20	2020-02-20 14:05:02	2		2.25446	39	-0.855828	5.1	0	
* 21	2020-02-20 14:07:24	1		1.0659	46	-0.915095	5.1	0	
* 22	2020-02-20 14:08:49	2		0.85657	46	-0.65881	5	0	
* 23	2020-02-20 14:10:38	1		0.443623	67	-0.580372	5	0	
* 24	2020-02-20 14:12:04	2		0.415566	67	-0.551498	4.9	0	
* 25	2020-02-20 14:14:09	1		0.881726	65	-0.376652	4.7	0	
* 26	2020-02-20 14:15:34	2		0.741444	65	-0.384617	4.7	0	
* 27	2020-02-20 14:17:43	1		0.699165	102	-0.690634	4.6	0	
* 28	2020-02-20 14:19:09	2		0.793381	102	-0.838355	4.5	0	
* 29	2020-02-20 14:21:32	1		1.12861	45	-0.706643	4.5	0	
* 30	2020-02-20 14:22:58	2		0.947149	45	-0.716848	4.5	0	
