Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2020-05-20 09:21:44	33		0.008	0.183	14.4	6.81048	-1.14914	
2020-05-20 09:23:09	33		0.008	0.183	14.4	4.04513	-0.8421	
2020-05-20 09:26:52	8	13-4	0.002	0.0345455	14.3	2.93418	-0.359955	
2020-05-20 09:28:18	8	13-4	0.011	0.19	14.3	4.16686	-0.497793	
2020-05-20 09:30:30	75	13-1	0.023	0.265	14.3	3.43435	0.00679771	
2020-05-20 09:31:56	75	13-1	0.042	0.392	14	2.63211	0.0110408	
2020-05-20 09:33:52	34	13-2	0.0361818	0.362545	13.9636	2.41095	-0.408342	
2020-05-20 09:35:18	34	13-2	0.01	0.232	13.8	3.37803	-0.505487	
2020-05-20 09:37:08	15	13-3	0.032	0.449	13.8	0.608768	-0.0102376	
2020-05-20 09:38:34	15	13-3	0.032	0.449	13.8	0.971118	0.0058778	
2020-05-20 09:40:35	7	13-1	0.001	0.005	13.7	1.49653	-0.328914	
2020-05-20 09:42:00	7	13-1	0.029	0.438	13.7	1.70798	-0.437624	
2020-05-20 09:43:50	73	13-5	0.0299545	0.446455	13.7	7.82556	-0.362398	
2020-05-20 09:45:16	73	13-5	0.022	0.378	13.7	5.6587	-0.325405	
2020-05-20 09:47:06	35	13-0	0.04	0.424	13.8	1.0786	-0.0747184	
2020-05-20 09:48:32	35	13-0	0.04	0.427	13.7	0.890831	-0.0770532	
2020-05-20 09:50:26	14	13-0	0.001	0.006	13.7	1.22881	-0.178829	
2020-05-20 09:51:53	14	13-0	0.006	0.169	13.6467	1.4305	-0.229758	
2020-05-20 09:53:42	74	12-9	0.006	0.169	13.5	1.33849	-0.22633	
2020-05-20 09:55:07	74	12-9	0.023	0.401	13.5	1.89988	-0.0787587	
2020-05-20 09:57:00	16	13-3	0.038	0.314	13.4	6.84518	24.4136	
2020-05-20 09:58:25	16	13-3	0.04	0.327	13.4	6.40116	22.2901	
2020-05-20 10:00:20	36	13-2	0.025	0.345	13.3	4.86633	-0.418184	
2020-05-20 10:01:46	36	13-2	0.025	0.350227	13.3455	3.50915	-0.350977	
2020-05-20 10:03:23	76	13-2	0.001	0.005	13.1	3.60177	-0.626866	
2020-05-20 10:04:49	76	13-2	0.02	0.319545	13.3	2.77113	-0.60693	
2020-05-20 10:06:35	5	13-2	0.001	0.004	13.3	6.8871	-1.30464	
2020-05-20 10:08:01	5	13-2	0.01	0.288	13.3	6.5843	-1.25816	
2020-05-20 10:10:02	6	13-3	0.011	0.224	13.3	1.61243	-0.474365	
2020-05-20 10:11:28	6	13-3	0.011	0.226	13.3	1.48267	-0.504787	
2020-05-20 10:24:09	27	13-3	0	0	13.5	19.0504	66.5265	
2020-05-20 10:25:35	27	13-3	0.042	0.65	13.4	2.7431	27.2205	
2020-05-20 10:27:50	22	12-8	-0.000727273	0.0117273	13.3	1.17686	0.0535518	
2020-05-20 10:29:16	22	12-8	0.023	0.49	13.3	1.13754	-0.00745888	
2020-05-20 10:31:27	10	13-1	0.022	0.505	13.1	1.11272	-0.0937945	
2020-05-20 10:32:52	10	13-1	0.022	0.506	13.1	1.05169	-0.0750443	
2020-05-20 10:34:55	24	13-0	0.017	0.447	13.1	6.18549	-0.239668	
2020-05-20 10:36:20	24	13-0	0.018	0.448	13.3	3.41402	-0.154331	
2020-05-20 10:38:14	26	13-3	0.019	0.482	13.3	2.16892	-0.0986743	
2020-05-20 10:39:40	26	13-3	0.018	0.485	13.1	2.62075	-0.1987	
2020-05-20 10:41:43	12	13-4	0.003	0.089	13.3	2.9889	28.6713	
2020-05-20 10:43:08	12	13-4	0.015	0.345	13.4	1.05095	1.26148	
2020-05-20 10:45:00	78	13-4	0.024	0.489	13.4	2.6703	0.112782	
2020-05-20 10:46:26	78	13-4	0.026	0.487	13.5	4.11608	0.0496797	
2020-05-20 10:51:09	9	13-0	0.013	0.062	13.7	3.56834	-0.725921	
2020-05-20 10:52:35	9	13-0	0.012	0.093	13.8	3.21892	-0.651009	
2020-05-20 10:54:17	79	12-7	0.011	0.3	13.8	2.70572	-0.613744	
2020-05-20 10:55:43	79	12-7	0.011	0.304	13.8	2.37591	-0.642493	
2020-05-20 10:57:35	25	13-0	0.003	0.069	13.7	1.70176	-0.167156	
2020-05-20 10:59:02	25	13-0	0.012	0.392	13.7	1.81169	-0.185244	
2020-05-20 11:00:48	77	13-1	0.0136	0.4308	13.7	2.0718	-0.344001	
2020-05-20 11:02:14	77	13-1	0.009	0.304	13.7	1.79937	-0.28847	
2020-05-20 11:04:05	80	12-8	0.009	0.314	13.7	3.34047	-1.12263	
2020-05-20 11:05:31	80	12-8	0.009	0.316	13.7	3.52799	-0.98816	
2020-05-20 11:07:18	28	12-9	0.009	0.384	13.7	1.48193	-0.21147	
2020-05-20 11:08:45	28	12-9	0.009	0.385	13.7	1.29857	-0.173102	
2020-05-20 11:10:35	21	13-1	0.003	0.142	13.7	2.30014	-0.384501	
2020-05-20 11:12:01	21	13-1	0.023	0.483	13.7	2.24931	-0.526166	
2020-05-20 11:13:55	11	13-2	0.013	0.415	13.7	2.94432	0.0441415	
2020-05-20 11:15:20	11	13-2	0.013	0.414	13.7	3.50634	0.175085	
2020-05-20 11:17:33	119	13-3	0.002	0.055	13.7	4.71624	-2.11752	
2020-05-20 11:18:59	119	13-3	0.01	0.26	13.7	3.23241	-1.96178	
2020-05-20 11:20:44	117	13-0	0.01	0.26	13.5	2.86265	-2.26879	
2020-05-20 11:22:09	117	13-0	0.01	0.282	13.5	3.12711	-2.28131	
2020-05-20 11:23:59	120	12-8	0.018	0.324	13.7	2.85121	-2.20827	
2020-05-20 11:25:25	120	12-8	0.017	0.324	13.7	2.67747	-1.99156	
2020-05-20 11:27:57	118	13-1	0.009	0.303	13.7	2.9618	-1.69164	
2020-05-20 11:29:23	118	13-1	0.009	0.305	13.7	2.90883	-1.64335	
2020-05-20 11:32:04	121	13-2	0.009	0.256	13.7	4.40583	-1.75515	
2020-05-20 11:33:31	121	13-2	0.009	0.255	13.7	2.90845	-1.50203	
2020-05-20 11:35:29	124	13-0	0.003	0.086	13.8	2.75796	-2.14774	
2020-05-20 11:36:56	124	13-0	0.009	0.315	13.8	2.66217	-2.45509	
2020-05-20 11:38:46	122	12-9	0.00945454	0.330227	13.8	3.72664	-3.19667	
2020-05-20 11:40:12	122	12-9	0.007	0.248	13.8	2.77173	-2.79737	
2020-05-20 11:42:00	123	13-6	0.015	0.294	13.8	5.63718	-3.95384	
2020-05-20 11:43:26	123	13-6	0.015	0.294	14	4.35465	-2.4673	
