Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-06-14 10:04:16	1		10.4022	68	-1.01788	18.4	0.21	
* 2	2019-06-14 10:05:50	2		5.72707	68	-0.691179	18.2	0.212	
* 3	2019-06-14 10:10:54	1		21.8783	84	-1.26742	18	0.408	
* 4	2019-06-14 10:12:29	2		10.2986	84	-0.701719	18	0.4094	
* 5	2019-06-14 10:15:13	1		34.0329	40	-2.20712	17.9	0	
* 6	2019-06-14 10:16:49	2		8.0059	40	-0.324235	18	0.336	
* 7	2019-06-14 10:19:12	1		12.539	103	-0.742205	18	0	
* 8	2019-06-14 10:20:48	2		8.75604	103	-0.541646	17.9	0.436	
* 9	2019-06-14 10:23:25	1		0	45	0	18	-0.143667	
* 10	2019-06-14 10:25:00	2		6.35036	45	-0.33657	17.9	0.436	
* 11	2019-06-14 10:28:06	1		9.27425	102	-0.699679	17.9	0	
* 12	2019-06-14 10:29:42	2		4.88099	102	-0.562517	17.7	0.435	
* 13	2019-06-14 10:32:20	1		10.1346	67	-1.15156	17.7	0	
* 14	2019-06-14 10:33:56	2		3.9653	67	-0.600214	17.7	0.414	
* 15	2019-06-14 10:37:37	1		8.93669	65	-0.421363	17.7	0.47	
* 16	2019-06-14 10:39:13	2		0	65	0	17.7	0.473	
* 17	2019-06-14 10:42:03	1		0	46	0	17.9	0.418	
* 18	2019-06-14 10:43:39	2		0	46	0	17.9	0.425	
* 19	2019-06-14 10:46:57	1		24.0407	101	-1.60156	17.9	0.398	
* 20	2019-06-14 10:48:32	2		8.97147	101	-0.477878	17.9	0.4032	
* 21	2019-06-14 10:52:04	1		12.1483	39	-0.285839	18	0	
* 22	2019-06-14 10:53:40	2		0	39	0	18	0.504	
* 23	2019-06-14 10:57:09	1		10.7885	81	-0.403123	18	0.429	
* 24	2019-06-14 10:58:44	2		0	81	0	18.2	0.429	
* 25	2019-06-14 11:16:43	1		7.86429	81new	-0.585641	18.4	0.429	
* 26	2019-06-14 11:18:19	2		6.45638	81new	-0.634167	18.4	0.429	
* 27	2019-06-14 11:21:26	1		6.31323	47	-0.150615	18.2	0.445622	
* 28	2019-06-14 11:23:00	2		0	47	0	18.2	0.455	
* 29	2019-06-14 11:28:17	1		8.79354	38	-0.597975	17.9	0.356	
* 30	2019-06-14 11:29:54	2		6.28994	38	-0.53039	17.9	0.356	
* 31	2019-06-14 11:32:15	1		3.27162	83	-0.149411	17.7	0.065	
* 32	2019-06-14 11:33:52	2		3.08396	83	-0.11402	17.7	0.531	
* 33	2019-06-14 11:36:22	1		1.97691	48	-0.0558259	17.7	0	
* 34	2019-06-14 11:37:56	2		1.80932	48	-0.198401	17.7	0.343	
* 35	2019-06-14 11:41:35	1		3.71595	104	-0.13231	17.7	0.511	
* 36	2019-06-14 11:43:10	2		3.66383	104	-0.118468	17.7	0.511	
* 37	2019-06-14 11:45:58	1		6.78427	82	-1.05798	17.7	0.391	
* 38	2019-06-14 11:47:32	2		5.86447	82	-1.00678	17.7	0.396	
* 39	2019-06-14 11:50:05	1		11.2108	37	-0.684211	17.9	0	
* 40	2019-06-14 11:51:41	2		7.358	37	-0.505177	17.9	0.44	
* 41	2019-06-14 11:53:53	1		0	66	0	17.9	0.38	
* 42	2019-06-14 11:55:28	2		3.68751	66	-0.274052	17.9	0.384787	
* 43	2019-06-14 13:04:24	1		8.16228	106	-0.297558	18.8	0.459	
* 44	2019-06-14 13:05:59	2		6.78385	106	-0.16693	18.8	0.459	
* 45	2019-06-14 13:09:22	1		8.55565	56	-0.553386	18.6	0.468	
* 46	2019-06-14 13:10:58	2		6.64944	56	-0.412113	18.6	0.471	
* 47	2019-06-14 13:13:24	1		0	44	0	18.6	0.453	
* 48	2019-06-14 13:14:59	2		6.82308	44	-0.248477	18.5455	0.457	
* 49	2019-06-14 13:17:21	1		22.0067	54	-2.12906	18.8	0.003	
