Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-09-18 07:37:20	1		26.4771	4	-5.84428	21.1	0.323	
* 2	2019-09-18 07:38:55	2		7.55969	4	-1.07036	21.1	0.323	
* 3	2019-09-18 07:50:25	1		-29.7101	29	-0.57028	21.3	0.618	
* 4	2019-09-18 07:52:00	2		11.3506	29	34.3136	21.3	0.619	
* 5	2019-09-18 07:55:26	1		3.63201	52	-0.00566925	21.1	0.598	
* 6	2019-09-18 07:57:01	2		1.73242	52	0.00666388	21.1	0.725	
* 7	2019-09-18 07:59:36	1		4.97248	50	-0.427296	20.9	0	
* 8	2019-09-18 08:01:11	2		3.69607	50	-0.396595	20.9	0	
* 9	2019-09-18 08:03:40	1		5.55181	50new	-0.435357	20.9	0.414	
* 10	2019-09-18 08:05:15	2		3.91155	50new	-0.378114	20.7	0.454	
* 11	2019-09-18 08:08:48	1		7.13643	64	-2.34793	20.5	0.169	
* 12	2019-09-18 08:10:24	2		0	64	0	20.9	0.167	
* 13	2019-09-18 08:14:56	1		5.58968	64new	-0.775681	21.1	0.165	
* 14	2019-09-18 08:16:32	2		4.65213	64new	-0.71391	21.3	0.165	
* 15	2019-09-18 08:20:10	1		9.13145	72	-0.898605	21.3	-0.0529091	
* 16	2019-09-18 08:21:45	2		4.44037	72	-0.711905	21.3	0.389	
* 17	2019-09-18 08:24:17	1		5.90681	19	-0.0866746	21.3	0.343	
* 18	2019-09-18 08:25:53	2		4.47136	19	-0.104842	21.3	0.353	
* 19	2019-09-18 08:28:55	1		5.22927	17	-0.0781691	21.3	0.043	
* 20	2019-09-18 08:30:30	2		4.28207	17	-0.0719761	21.7	0.224	
* 21	2019-09-18 08:33:17	1		8.06821	63	0.995646	22.1	0.426	
* 22	2019-09-18 08:34:52	2		10.7043	63	1.21463	22.1	0.414	
* 23	2019-09-18 08:37:30	1		5.89984	71	8.41022	21.9	0.344	
* 24	2019-09-18 08:39:06	2		4.61264	71	6.07832	21.9	0.364	
* 25	2019-09-18 08:42:50	1		3.31567	1	4.06788	21.7	0	
* 26	2019-09-18 08:44:25	2		3.08618	1	3.40584	21.7	0.676	
* 27	2019-09-18 08:46:41	1		5.53615	69	-1.18995	21.7	0.266	
* 28	2019-09-18 08:48:17	2		5.3886	69	-1.14465	21.7	0.264	
* 29	2019-09-18 08:51:47	1		1.75577	62	0.123662	21.5	0.431	
* 30	2019-09-18 08:53:24	2		1.63565	62	0.0997836	21.5	0.486	
* 31	2019-09-18 08:55:54	1		3.32391	32	-0.417446	21.5	0	
* 32	2019-09-18 08:57:30	2		3.26091	32	-0.373026	21.3	0.256	
* 33	2019-09-18 09:00:15	1		6.17474	49	2.769	21.3	0	
* 34	2019-09-18 09:01:51	2		4.34353	49	1.81636	21.3	0	
* 35	2019-09-18 09:03:41	1		3.7041	49new	1.40947	21.3	0	
* 36	2019-09-18 09:05:15	2		3.95025	49new	1.5199	21.1	0.95	
* 37	2019-09-18 09:08:00	1		8.48107	70	-1.05251	20.9	0	
* 38	2019-09-18 09:09:37	2		4.29699	70	-0.830145	20.9	0.433	
