Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-06-07 09:47:11	1		15.382	116	-5.06336	22.6	0.236	
* 2	2019-06-07 09:48:46	2		5.46967	116	-1.57608	22.4	0.235	
* 3	2019-06-07 09:52:50	1		9.90415	115	-1.67894	22.4	0	
* 4	2019-06-07 09:54:25	2		5.52789	115	-1.10052	22.4	0	
* 5	2019-06-07 09:57:01	1		10.9289	115new	-1.29735	22.6	0.252	
* 6	2019-06-07 09:58:36	2		6.27762	115new	-0.965494	21.9	0.256	
* 7	2019-06-07 10:01:08	1		9.83584	114	-0.948348	21.9	0	
* 8	2019-06-07 10:02:43	2		4.66026	114	-0.724891	21.9	0.253	
* 9	2019-06-07 10:05:40	1		0	113	0	21.9	0.387	
* 10	2019-06-07 10:07:16	2		7.01778	113	-0.456282	21.7	0.387	
* 11	2019-06-07 10:12:32	1		15.3346	111	0.515606	21.9	0	
* 12	2019-06-07 10:14:01	1		13.5319	111new	-2.86584	21.9	0	
* 13	2019-06-07 10:15:36	2		10.5949	111new	-9.0277	22.1	0.204	
* 14	2019-06-07 10:19:09	1		24.7876	110	-1.90073	22.1	0	
* 15	2019-06-07 10:20:44	2		10.2182	110	-1.58274	21.9	0.277	
* 16	2019-06-07 10:23:47	1		22.1851	112	-4.69982	21.9	0	
* 17	2019-06-07 10:25:23	2		9.38778	112	-2.65952	21.9	0.235	
* 18	2019-06-07 10:28:47	1		24.9844	109	-4.78684	21.9	0.282	
* 19	2019-06-07 10:30:23	2		12.2708	109	-11.0635	21.9	0.284	
* 20	2019-06-07 10:34:11	1		10.9739	6	-1.53335	21.9	0	
* 21	2019-06-07 10:35:46	2		7.75465	6	-0.401652	22.1	0.155	
* 22	2019-06-07 10:38:58	1		15.8261	93	-3.50839	22.1	0.192	
* 23	2019-06-07 10:40:33	2		6.95991	93	0.440891	22.1	0.19	
* 24	2019-06-07 10:43:13	1		33.0096	5	-3.98386	22.1	0	
* 25	2019-06-07 10:44:49	2		11.6531	5	-0.91135	22.1	0.308	
* 26	2019-06-07 10:47:42	1		10.5217	36	-0.417992	22.1	0.31	
* 27	2019-06-07 10:49:18	2		0	36	0	22.1	0.31	
* 28	2019-06-07 10:51:47	1		8.78137	76	-0.830713	21.9	0.319	
* 29	2019-06-07 10:53:22	2		6.39382	76	0.261275	22.1	0.317	
* 30	2019-06-07 10:56:36	1		22.8561	16	58.9204	22.4	0.433	
* 31	2019-06-07 10:58:11	2		12.7656	16	43.2956	22.1	0.431	
* 32	2019-06-07 11:01:15	1		4.6806	74	0.134754	21.9	0	
* 33	2019-06-07 11:02:50	2		5.52687	74	0.681047	21.9	0.331	
* 34	2019-06-07 11:05:24	1		0	94	0	21.9	-0.1444	
* 35	2019-06-07 11:06:59	2		6.78861	94	0.245369	21.9	0.361	
* 36	2019-06-07 11:10:22	1		7.47115	94new	-0.507811	21.7	0.361	
* 37	2019-06-07 11:11:58	2		6.42102	94new	-3.16199	21.5	0.361	
* 38	2019-06-07 11:14:49	1		6.59119	14	-0.0884518	21.7	0.237	
* 39	2019-06-07 11:16:24	2		0	14	0	21.7	0.238	
* 40	2019-06-07 11:18:40	1		0	14new	0	21.5	0.24	
* 41	2019-06-07 11:20:16	2		6.43703	14new	-0.6206	21.5	0.24	
* 42	2019-06-07 11:23:00	1		12.4468	35	32.7754	21.5	0	
* 43	2019-06-07 11:24:35	2		8.0075	35	22.4236	21.1	0.487	
* 44	2019-06-07 11:27:56	1		12.0899	13new	1.69164	21.3	0	
* 45	2019-06-07 11:29:31	2		4.81682	13new	2.18362	21.3	0.457	
* 46	2019-06-07 11:32:43	1		10.8701	7	1.04535	21.3	0.482	
* 47	2019-06-07 11:34:19	2		8.48707	7	0.428297	21.3	0.485	
* 48	2019-06-07 11:37:16	1		15.6674	73	0.198991	21.3	0	
* 49	2019-06-07 11:38:51	2		17.6275	73	-0.377417	21.5	0.364	
* 50	2019-06-07 11:41:57	1		9.36309	15	-0.385038	21.5	0.351	
* 51	2019-06-07 11:43:32	2		4.41553	15	0.522608	21.7	0.352	
* 52	2019-06-07 11:46:18	1		16.2331	96	2.15178	21.9	0	
* 53	2019-06-07 11:47:53	2		8.78917	96	2.31846	21.9	0.301	
* 54	2019-06-07 11:50:30	1		10.1353	34	-8.44093	21.9	0.396	
* 55	2019-06-07 11:52:05	2		4.16922	34	-0.277003	21.9	0.398	
* 56	2019-06-07 11:55:04	1		15.1801	75	0.789448	22.1	0.388	
* 57	2019-06-07 11:56:40	2		9.406	75	1.16216	22.1	0.388	
* 58	2019-06-07 11:59:59	1		39.7787	8	-3.70096	22.4	0.219	
* 59	2019-06-07 12:01:34	2		12.9126	8	-0.848146	22.4	0.219	
* 60	2019-06-07 12:04:31	1		67.6437	95	-12.4899	22.4	0.198	
* 61	2019-06-07 12:06:07	2		20.2174	95	-2.68233	22.6	0.197	
* 62	2019-06-07 12:09:07	1		10.6929	33	-0.582479	22.6	0.359	
* 63	2019-06-07 12:10:42	2		8.07951	33	-0.43802	22.6	0.363	
* 64	2019-06-07 14:01:33	1			121		24.7	0.237	
* 65	2019-06-07 14:04:16	1		14.9979	121new	-1.54328	23.7	0.238	
* 66	2019-06-07 14:05:51	2		8.21243	121new	-5.72066	23.7	0.238	
* 67	2019-06-07 14:08:43	1		11.0462	124	-1.67978	23.3	0	
* 68	2019-06-07 14:10:18	2		7.19964	124	-1.32385	23	0.274	
* 69	2019-06-07 14:13:14	1		23.3254	122	-7.25438	22.8	0.244	
* 70	2019-06-07 14:14:50	2		8.18237	122	-2.15321	22.8	0.244	
* 71	2019-06-07 14:17:35	1		23.8903	123	-3.62207	22.6	0.275	
* 72	2019-06-07 14:19:10	2		12.6104	123	-2.44327	22.8	0.276182	
* 73	2019-06-07 14:22:37	1		43.1121	120	-10.4723	22.8	0	
* 74	2019-06-07 14:24:12	2		11.7303	120	-2.07034	22.8	0.212	
* 75	2019-06-07 14:27:20	1		20.2572	118	-3.68059	22.8	0.236	
* 76	2019-06-07 14:28:55	2		0	118	0	22.8	0.235	
* 77	2019-06-07 14:31:36	1		20.4685	119	-6.89897	22.8	0.168	
* 78	2019-06-07 14:33:12	2		6.5372	119	-1.88785	22.8	0.169	
* 79	2019-06-07 14:36:05	1		9.28528	118new	-1.34311	22.8545	0.222727	
* 80	2019-06-07 14:37:41	2		5.04794	118new	-0.929636	22.6	0.227	
* 81	2019-06-07 14:41:42	1		10.785	21	1.12454	22.6	0.5	
* 82	2019-06-07 14:43:18	2		3.25243	21	0.00377599	21.9	0.503	
* 83	2019-06-07 14:46:14	1		34.3437	11	0.0858505	21.9	0.497	
* 84	2019-06-07 14:47:49	2		0	11	0	21.7	0.497	
* 85	2019-06-07 14:50:18	1		15.6009	28	3.82921	21.7	0.426	
* 86	2019-06-07 14:51:54	2		3.94246	28	-0.387459	21.5	0.426	
* 87	2019-06-07 14:54:46	1		16.7475	80	-1.21669	21.5	0.372	
* 88	2019-06-07 14:56:21	2		0	80	0	21.3	0.372	
* 89	2019-06-07 15:00:08	1		13.9742	77	-0.109823	21.5	1.249e-16	
* 90	2019-06-07 15:01:43	2		4.49324	77	-0.739106	21.5	0.409	
* 91	2019-06-07 15:05:12	1		28.3696	25	-0.612923	21.7	0.408	
* 92	2019-06-07 15:06:48	2		7.55882	25	-0.367925	21.7	0.407	
* 93	2019-06-07 15:09:10	1		15.6195	79	-2.7869	21.5818	0.111864	
* 94	2019-06-07 15:10:45	2		5.73662	79	-0.652742	21.7	0.272	
* 95	2019-06-07 15:13:06	1		24.2144	9	-1.25212	21.6545	-0.103636	
* 96	2019-06-07 15:14:42	2		6.08041	9	-4.39764	21.7	0.456	
* 97	2019-06-07 15:17:32	1		7.16005	78	5.24364	21.7	0.487	
* 98	2019-06-07 15:19:08	2		5.9447	78	2.87936	21.9	0.484	
* 99	2019-06-07 15:21:21	1		0	12	0	21.9	0.36	
* 100	2019-06-07 15:22:57	2		3.32217	12	-0.255443	22.1	0.361	
* 101	2019-06-07 15:25:41	1		14.7177	26	5.3473	22.1	0.48	
* 102	2019-06-07 15:27:16	2		4.48328	26	3.09862	21.9	0.482	
* 103	2019-06-07 15:30:28	1		43.8731	24	52.0429	21.9	0.513	
* 104	2019-06-07 15:32:03	2		8.42418	24	6.03781	21.7455	0.510773	
* 105	2019-06-07 15:34:41	1		3.8131	10	122.856	21.7	0.003	
* 106	2019-06-07 15:36:15	2		3.17599	10	65.6084	21.5	0.589	
* 107	2019-06-07 15:39:14	1		5.03296	22	155.818	21.7	0.598	
* 108	2019-06-07 15:40:49	2		5.59865	22	89.4363	21.5	0.597	
* 109	2019-06-07 15:44:10	1		-5.01029	27	56930.8	21.5793	0.655775	
* 110	2019-06-07 15:45:45	2		0.86294	27	3249.6	21.7	0.663	
