Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2019-11-06 09:55:03	50	11-9	0.111	0.501	15.1	7.48979	64.4314	
2019-11-06 09:56:28	50	11-9	0.113	0.498	14.4	1.69984	-0.0768817	
2019-11-06 09:58:53	52	12-3	0	0	14	1.41261	-1.11982	
2019-11-06 10:00:19	52	12-3	0.155	0.524	13.4	1.59192	-0.301923	
2019-11-06 10:02:33	29	11-9	0.166	0.584	13	1.08382	0.732635	
2019-11-06 10:03:59	29	11-9	0.166	0.583	12.7	0.763912	0.621645	
2019-11-06 10:06:59	90	12-6	0.165	0.582	12.1	3.9362	0.0788534	
2019-11-06 10:08:24	90	12-6	0.173	0.525	11.9	1.99795	0.0848688	
2019-11-06 10:14:29	4	12-7	0.002	0.074	12	7.23948	-0.920149	
2019-11-06 10:15:55	4	12-7	0.025	0.259	11.9	4.3281	-0.604254	
2019-11-06 10:21:36	64	13-0	0.004	0.069	11.7	2.84356	-0.434177	
2019-11-06 10:23:02	64	13-0	0.00445455	0.0735909	11.7	3.1066	-0.505711	
2019-11-06 10:26:08	2	13-0	0.031	0.241	11.7	4.85334	-0.767374	
2019-11-06 10:27:33	2	13-0	0.032	0.242	11.7	2.22072	-0.41279	
2019-11-06 10:30:41	30	12-6	0.001	0.071	11.7	6.24409	-0.426503	
2019-11-06 10:32:07	30	12-6	0.0058	0.0734	11.9	3.507	-0.517892	
2019-11-06 10:35:13	72	12-5	0.002	0.091	11.9	2.54931	-0.120529	
2019-11-06 10:36:39	72	12-5	0.002	0.092	11.9	2.43469	-0.145007	
2019-11-06 10:39:09	19	12-3	0.0064	0.0296	12	3.71075	-0.237587	
2019-11-06 10:40:35	19	12-3	0.022	0.095	12.1	1.86574	-0.139597	
2019-11-06 10:43:24	91	12-7	0.002	0.099	12.1	7.84765	2.6933	
2019-11-06 10:44:50	91	12-7	0.002	0.106	12.1	2.89332	1.19646	
2019-11-06 10:48:03	63	12-4	-0.000545455	-0.0253636	12	3.6326	0.182527	
2019-11-06 10:49:29	63	12-4	0.002	0.096	12	2.04231	0.0367631	
2019-11-06 10:52:04	17	12-5	0.001	0.0754	12	6.80074	1.51684	
2019-11-06 10:53:29	17	12-5	0.001	0.074	12	3.13509	0.69029	
2019-11-06 10:56:18	92	12-8	0.002	0.082	12	2.87349	-2.07511	
2019-11-06 10:57:44	92	12-8	0.002	0.079	12	3.13504	-0.266548	
