Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2020-02-20 11:53:24	1	6-8	0	0	5.21364	4.2721	-0.0529491	
2020-02-20 11:54:50	1	6-8	0	0	5.1	2.73846	-1.51318	
2020-02-20 13:25:40	101	6-5	0	0	8.9	0.594583	-0.517386	
2020-02-20 13:27:06	101	6-5	0	0	8.4	0.696577	-0.522623	
2020-02-20 11:42:18	17	6-7	0	0	5.4	1.35054	0.198298	
2020-02-20 11:43:43	17	6-7	0	0	5.3	0.639331	0.0686686	
2020-02-20 12:07:47	18	6-9	0	0	5.2	4.93747	-0.277	
2020-02-20 12:09:12	18	6-9	0	0	5.2	5.77287	-0.288346	
2020-02-20 11:24:46	19	6-7	0	0	5.4	0.459201	-0.0810024	
2020-02-20 11:26:12	19	6-7	0	0	5.3	0.638459	-0.142626	
2020-02-20 11:32:02	2	6-9	0	0	5	2.92709	-0.222734	
2020-02-20 11:33:27	2	6-9	0	0	4.97273	1.00418	-0.210927	
2020-02-20 12:12:18	20	6-9	0	0	5.1	2.63851	-0.796203	
2020-02-20 12:13:43	20	6-9	0	0	5.1	2.65021	-0.689675	
2020-02-20 11:06:58	29	6-0	0	0.001	7	0.355562	-0.0614059	
2020-02-20 11:08:24	29	6-0	0	0	6.7	0.358256	-0.0728419	
2020-02-20 12:16:07	3	6-4	0	0	5.1	1.27117	-0.692135	
2020-02-20 12:17:32	3	6-4	0	0	5	2.26509	-1.15159	
2020-02-20 11:35:27	30	6-7	0	0	5.1	0.747534	-0.207101	
2020-02-20 11:36:53	30	6-7	0	0	5.2	0.911392	-0.264065	
2020-02-20 12:26:05	31	6-1	0	0	5.5	1.9209	-0.717705	
2020-02-20 12:27:30	31	6-1	0	0	5.4	2.06131	-0.851616	
2020-02-20 12:04:26	32	7-0	0	0	5.33333	0.879796	-0.0911368	
2020-02-20 12:05:52	32	7-0	0	0	5.2	0.649589	-0.0882248	
2020-01-30 16:30:56	37	6-0	0	0	5.03182	1.14586	-0.866439	
2020-01-30 16:32:22	37	6-0	0	0	4.9	0.99079	-0.868819	
2020-01-30 16:17:58	38	5-7	0	0	5.8	0.473093	-0.395474	
2020-01-30 16:19:24	38	5-7	0	0	5.6	0.590942	-0.533545	
2020-01-30 16:05:05	39	5-9	0	0	8	1.64895	-0.691616	
2020-01-30 16:06:31	39	5-9	0	0	7.7	1.53388	-0.638416	
2020-02-20 11:03:38	4	7-0	0	0	7.5	2.69163	-0.0787637	
2020-02-20 11:05:03	4	7-0	0	0	7.4	3.71854	-0.104672	
2020-01-30 16:59:46	40	6-0	0	0	4.1	0.7207	-0.791213	
2020-01-30 17:01:12	40	6-0	0	0	4.1	0.767608	-0.720354	
2020-01-31 12:45:37	41	5-7	0	0	6.2	1.37432	-1.19732	
2020-01-31 12:47:02	41	5-7	0	0	6.2	1.14721	-1.18861	
2020-01-31 12:04:38	42	5-6	0	0	6.2	0.284936	-0.445335	
2020-01-31 12:06:04	42	5-6	0	0	6.2	0.443407	-0.79022	
2020-01-31 12:21:00	43	5-9	0	0	6.1	0.77483	-0.802095	
2020-01-31 12:22:25	43	5-9	0	0	6.1	1.05996	-0.96415	
2020-01-31 11:44:07	44	5-9	0	0.006	7.2	0.769146	-0.549983	
2020-01-31 11:45:33	44	5-9	0	0.006	7	0.753811	-0.595468	
2020-01-30 16:52:27	45	5-9	0	0	4.3	1.01388	-0.619963	
2020-01-30 16:53:53	45	5-9	0	0	4.2	0.719105	-0.600705	
2020-01-30 16:55:55	46	5-7	0	0	4.2	0.812483	-0.727769	
