Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2019-11-20 10:58:24	98	10-4	0.049	0.099	11.5	3.01462	-0.12565	
2019-11-20 10:59:50	98	10-4	0.038	0.068	11.5	2.36814	0.163884	
2019-11-20 11:02:08	27	10-7	0	0.073	11.3	1.7538	-0.0179399	
2019-11-20 11:03:34	27	10-7	0	0.075	11.3	1.40437	-0.0106814	
2019-11-20 11:06:01	22	11-1	0.001	0.061	11.2	1.90868	-0.0386897	
2019-11-20 11:07:27	22	11-1	0.001	0.063	11.2	1.26902	0.00256014	
2019-11-20 11:10:31	10	10-9	0	0	11.1	1.8914	-0.0899087	
2019-11-20 11:11:57	10	10-9	0.001	0.052	11.2	1.05549	-0.0290067	
2019-11-20 11:14:39	78	11-1	0	-0.0183333	11.3	5.06809	0.253177	
2019-11-20 11:16:05	78	11-1	0	0.057	11.3	3.34697	0.242807	
2019-11-20 11:18:36	12	11-1	-0.000272727	0.06	11.3	2.67483	0.0207278	
2019-11-20 11:20:02	12	11-1	0.001	0.048	11.5	1.94869	0.0593844	
2019-11-20 11:22:56	99	11-1	0	0.019	11.5	3.27145	0.425024	
2019-11-20 11:24:22	99	11-1	0	0.016	11.5	3.11843	0.361732	
2019-11-20 11:27:08	100	11-0	0	0.019	11.5	2.99019	-0.0204303	
2019-11-20 11:28:34	100	11-0	0	0.019	11.4864	2.98478	-0.0607725	
2019-11-20 11:31:02	26	10-8	0	0.026	11.6	2.00057	-0.0712179	
2019-11-20 11:32:28	26	10-8	0	0.03	11.7	1.32664	-0.027085	
2019-11-20 11:37:08	24	10-9	0	0	11.7	3.47633	-0.501948	
2019-11-20 11:38:34	24	10-9	0	0.015	11.7	3.31502	-0.639293	
2019-11-20 11:41:00	25	10-6	0	0	12.1	1.76745	-0.381364	
2019-11-20 11:42:26	25	10-6	0	0	12.3	2.252	-0.448227	
2019-11-20 11:44:48	79	10-4	0.001	0.006	12.6	1.75203	-0.327539	
2019-11-20 11:46:14	79	10-4	0.001	0.003	12.7	2.12264	-0.162291	
2019-11-20 11:48:49	9	10-9	0.002	0.035	13	2.9865	0.00537123	
2019-11-20 11:50:15	9	10-9	0.002	0.039	13	3.23726	-0.0618349	
2019-11-20 11:53:00	97	10-7	0.014	0.199	13	2.67992	-0.197664	
2019-11-20 11:54:26	97	10-7	0.015	0.198	13	2.13082	-0.240046	
2019-11-20 11:56:47	77	10-3	0	0.002	13.3	5.19174	-0.659257	
2019-11-20 11:58:13	77	10-3	0	0.006	13.4	1.68796	-0.641568	
2019-11-20 12:00:39	11	10-4	0	0.007	13.4	2.9403	-0.297359	
2019-11-20 12:02:05	11	10-4	0	0.008	13.5	1.96415	-0.322987	
2019-11-20 12:05:15	23	10-5	0	0.004	13.7	4.90688	-0.721522	
