Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-11-18 10:21:52	1		0.846477	50	-22.7136	14.4	0.034	
* 2	2019-11-18 10:23:17	2		0.79262	50	0.0148445	13.5	0.033	
* 3	2019-11-18 10:25:47	1		0.76048	52	-0.0246924	13	0	
* 4	2019-11-18 10:27:13	2		0.643813	52	-0.0902304	12.3	0.036	
* 5	2019-11-18 10:29:57	1		1.40249	29	1.21149	11.7	0	
* 6	2019-11-18 10:31:22	2		1.07675	29	0.773695	11.2	0.032	
* 7	2019-11-18 10:34:01	1		1.7697	90	0.103626	11	0.032	
* 8	2019-11-18 10:35:27	2		1.42791	90	0.044591	10.7	0.028	
* 9	2019-11-18 10:37:51	1		4.79655	4	-0.570942	10.6	0.01	
* 10	2019-11-18 10:39:17	2		3.06325	4	-0.635965	10.6	0.01	
* 11	2019-11-18 10:42:06	1		3.65486	64	-0.371894	10.4	-0.00566667	
* 12	2019-11-18 10:43:31	2		2.18257	64	-0.323146	10.3	0.017	
* 13	2019-11-18 10:47:28	1		1.85977	2	-0.501608	10.3	0.009	
* 14	2019-11-18 10:48:54	2		1.20154	2	-0.461398	10.3	0.011	
* 15	2019-11-18 10:51:05	1		1.87848	72	0.00419105	10.3	0.011	
* 16	2019-11-18 10:52:30	2		1.23669	72	-0.0558571	10.4	0.011	
* 17	2019-11-18 10:55:54	1		1.10819	19	-0.169248	10.3	0.012	
* 18	2019-11-18 10:57:19	2		1.10229	19	-0.165041	10.3	0.014	
* 19	2019-11-18 10:59:29	1		2.26876	91	1.03663	10.2	0.022	
* 20	2019-11-18 11:00:54	2		2.02254	91	1.12463	10.1	0.022	
* 21	2019-11-18 11:03:53	1		3.54306	30	-0.289357	9.9	0	
* 22	2019-11-18 11:05:18	2		2.66116	30	-0.325959	9.9	0.004	
* 23	2019-11-18 11:07:36	1		2.60318	92	-0.324806	10.1	0.005	
* 24	2019-11-18 11:09:02	2		2.21368	92	-0.252699	9.85454	0.000636364	
* 25	2019-11-18 11:12:28	1		3.18856	17	1.40404	10.1	0.002	
* 26	2019-11-18 11:13:54	2		2.11278	17	0.897064	10.1	0.004	
* 27	2019-11-18 11:17:02	1		2.47678	63	0.59421	10.08	0.0032	
* 28	2019-11-18 11:18:27	2		1.07659	63	0.183469	10.2	0.006	
* 29	2019-11-18 11:20:56	1		1.77907	71	6.77393	10.3	0	
* 30	2019-11-18 11:22:22	2		1.61909	71	5.94974	10.3	0.025	
* 31	2019-11-18 11:25:35	1		2.07232	1	0.233515	10.3	0.024	
* 32	2019-11-18 11:27:01	2		1.63553	1	0.309693	10.2	0.024	
* 33	2019-11-18 11:30:00	1		1.79771	69	0.0425641	10.2	0.024	
* 34	2019-11-18 11:31:26	2		1.69236	69	0.071087	10.2	0.012	
* 35	2019-11-18 11:33:29	1		0.904497	62	-0.0367548	10.2	0.016	
* 36	2019-11-18 11:34:54	2		0.965572	62	-0.00936239	10.2	0.016	
* 37	2019-11-18 11:37:28	1		2.16727	32	-0.53392	10.3	0.013	
* 38	2019-11-18 11:38:53	2		0	32	0	10.4	0.013	
* 39	2019-11-18 11:41:28	1		2.84431	89	2.83537	10.4	0.022	
* 40	2019-11-18 11:42:54	2		2.0902	89	1.76292	10.4	0.025	
* 41	2019-11-18 11:45:00	1		1.66828	49	0.642703	10.4	0.025	
* 42	2019-11-18 11:46:26	2		1.67708	49	0.494713	10.4	0.028	
* 43	2019-11-18 11:48:46	1		2.82549	70	-0.572328	10.3	0	
* 44	2019-11-18 11:50:11	2		2.47654	70	-0.4928	10.4	0.009	
* 45	2019-11-18 11:52:55	1		0.9178	51	5.1413	10.4	0	
* 46	2019-11-18 11:54:21	2		0.871542	51	0.00818975	10.4	0.025	
* 47	2019-11-18 14:22:41	1		4.61103	61	-1.2261	11.7	0	
* 48	2019-11-18 14:24:06	2		3.39905	3new	-1.07525	11.6	0	
* 49	2019-11-18 14:27:06	1		2.02291	31new	-1.07655	11.5	0	
* 50	2019-11-18 14:28:33	2		1.42018	31new	-0.849319	11.3	0	
* 51	2019-11-18 14:30:46	1		2.14978	61new	-0.221447	11.3	0	
* 52	2019-11-18 14:32:12	2		1.77043	61new	-0.189274	11.3	0	
* 53	2019-11-18 14:35:28	1		6.27443	18	-0.270691	11.2	0	
* 54	2019-11-18 14:36:54	2		2.27522	18	-1.78582	11.1	0.02	
* 55	2019-11-18 14:40:30	1		4.21028	20	-1.1373	11	0	
* 56	2019-11-18 14:41:56	2		2.32579	20	-0.902764	10.8	0.009	
* 57	2019-11-18 14:45:18	1		4.40403	101	-4.00075	10.6	0.011	
* 58	2019-11-18 14:46:44	2		2.09195	101	-1.58577	10.68	0.011	
* 59	2019-11-18 14:49:08	1		2.91408	39	-1.37238	10.4	0.009	
* 60	2019-11-18 14:50:35	2		2.90564	39	-1.37682	10.3	0.015	
* 61	2019-11-18 14:53:18	1		3.12798	81	-4.01388	10.2	0.007	
* 62	2019-11-18 14:54:44	2		0	81	0	10.24	0.0042	
* 63	2019-11-18 14:59:37	1		1.7186	46	-1.62943	9.9	0	
* 64	2019-11-18 15:01:03	2		1.73352	46	-1.68999	9.8	0.001	
* 65	2019-11-18 15:04:27	1		0.726652	67	-0.616161	9.8	0.011	
* 66	2019-11-18 15:05:54	2		1.0356	67	-0.763817	9.8	0.011	
* 67	2019-11-18 15:13:22	1		4.16133	45	-1.85313	9.6	0.014	
* 68	2019-11-18 15:14:48	2		0	45	0	9.6	0.014	
