Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2020-05-07 07:27:03	1		0.985052	50	0.05051	11.3	0.128	
* 2	2020-05-07 07:28:28	2		0.894555	50	0.0755721	11.3	0.118	
* 3	2020-05-07 07:30:54	1		2.29248	4	0.155023	11.1	0	
* 4	2020-05-07 07:32:20	2		1.61814	4	0.0768928	11	0	
* 5	2020-05-07 07:34:59	1		0.313945	29	0.302734	10.4	0	
* 6	2020-05-07 07:36:25	2		0.181586	29	0.377995	10.3	0.066	
* 7	2020-05-07 07:38:25	1		0.699313	52	0.00333375	10.2	0.059	
* 8	2020-05-07 07:39:51	2		0.656701	52	0.00633075	9.9	0.059	
* 9	2020-05-07 07:42:01	1		1.97886	2	0.0126958	9.9	0.053	
* 10	2020-05-07 07:43:27	2		1.59128	2	0.0272991	9.9	0.049	
* 11	2020-05-07 07:45:20	1		1.62991	64	0.00907663	9.9	0.042	
* 12	2020-05-07 07:46:46	2		1.31536	64	-0.00221815	10.2	0.039	
* 13	2020-05-07 07:51:52	1		2.65023	72	0.140131	10.2	0.033	
* 14	2020-05-07 07:53:18	2		2.55804	72	0.123516	10.2	0.032	
* 15	2020-05-07 07:55:11	1		1.59234	19	0.110375	10.3	0.035	
* 16	2020-05-07 07:56:36	2		1.13351	19	0.570195	10.3	0.0286364	
* 17	2020-05-07 07:58:50	1		2.77079	30	0.240382	10.4	0.569	
* 18	2020-05-07 08:00:15	2		2.18344	30	0.0175511	10.3	0.564	
* 19	2020-05-07 08:02:13	1		1.81441	17	0.044592	10.3	0.013	
* 20	2020-05-07 08:03:38	2		1.02629	17	0.105699	10.3	0.00933333	
* 21	2020-05-07 08:05:43	1		1.1482	63	0.186552	10.3	0.015	
* 22	2020-05-07 08:07:08	2		0.763995	63	0.0787472	10.3	0.015	
* 23	2020-05-07 08:09:24	1		4.05683	71	2.24605	10.4	0	
* 24	2020-05-07 08:10:50	2		2.04677	71	1.42765	10.3	0.015	
* 25	2020-05-07 08:13:07	1		3.43845	1	0.55784	10.2	0.011	
* 26	2020-05-07 08:14:33	2		2.52749	1	0.543059	10.3	0.009	
* 27	2020-05-07 08:16:26	1		4.07414	69	0.542238	10.6	0.008	
* 28	2020-05-07 08:17:51	2		2.66952	69	0.275852	10.6	0.009	
* 29	2020-05-07 08:19:40	1		0.936794	62	0.412116	10.6182	0.0106364	
* 30	2020-05-07 08:21:06	2		0.916967	62	0.379244	10.8	0.009	
* 31	2020-05-07 08:22:55	1		2.70004	32	0.114336	10.8	0.009	
* 32	2020-05-07 08:24:21	2		1.94472	32	0.107257	10.8	0.007	
* 33	2020-05-07 08:26:46	1		4.18637	20	-0.176745	10.8	0.008	
* 34	2020-05-07 08:28:12	2		3.70673	20	-0.0726147	10.8	0.008	
* 35	2020-05-07 08:30:16	1		5.00829	18	0.22439	10.8	0	
* 36	2020-05-07 08:31:41	2		2.92846	18	0.151685	10.8	0.007	
* 37	2020-05-07 08:33:46	1		4.29199	3	-0.216976	10.7	0.001	
* 38	2020-05-07 08:35:12	2		3.61562	3	-0.106209	10.8	0	
* 39	2020-05-07 08:37:08	1		8.8981	70	2.40068	10.8	0.008	
* 40	2020-05-07 08:38:34	2		9.36718	70	0.534588	11	0.007	
* 41	2020-05-07 08:40:49	1		0.979913	49	3.47375	11.1	0.01	
* 42	2020-05-07 08:42:15	2		0.567749	49	2.83416	11.2	0.009	
* 43	2020-05-07 08:44:34	1		0	31	0	11.3227	0	
* 44	2020-05-07 08:46:01	2		3.29823	31	-0.280249	11.2	0	
* 45	2020-05-07 08:47:56	1		2.48072	61	-0.31486	11.2	0.005	
* 46	2020-05-07 08:49:22	2		2.68883	61	-0.325539	11.2	0.005	
* 47	2020-05-07 08:51:23	1		1.42864	51	0.102666	11.2	0.001	
* 48	2020-05-07 08:52:49	2		0.698512	51	0.080162	11.3	0.012	
