Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-11-20 10:34:15	1			27		14.3	0.73	
* 2	2019-11-20 10:35:40	2			27		13.8	0.735	
* 3	2019-11-20 10:38:20	1			98		13.1	0.484	
* 4	2019-11-20 10:39:46	2			98		12.8227	0.547682	
* 5	2019-11-20 10:58:24	1		3.04164	98new2	-0.0359717	11.5	0.099	
* 6	2019-11-20 10:59:50	2		2.355	98new2	0.171108	11.5	0.068	
* 7	2019-11-20 11:02:08	1		1.67219	27new	-0.0171031	11.3	0.073	
* 8	2019-11-20 11:03:34	2		1.3215	27new	-0.0101877	11.3	0.075	
* 9	2019-11-20 11:06:01	1		1.90868	22	-0.0386897	11.2	0.061	
* 10	2019-11-20 11:07:27	2		1.26902	22	0.00256014	11.2	0.063	
* 11	2019-11-20 11:10:31	1		1.8914	10	-0.0899087	11.1	0	
* 12	2019-11-20 11:11:57	2		1.05549	10	-0.0290067	11.2	0.052	
* 13	2019-11-20 11:14:39	1		5.06809	78	0.253177	11.3	-0.0183333	
* 14	2019-11-20 11:16:05	2		3.34697	78	0.242807	11.3	0.057	
* 15	2019-11-20 11:18:36	1		2.67483	12	0.0207278	11.3	0.06	
* 16	2019-11-20 11:20:02	2		1.94869	12	0.0593844	11.5	0.048	
* 17	2019-11-20 11:22:56	1		3.27145	99	0.425024	11.5	0.019	
* 18	2019-11-20 11:24:22	2		3.11843	99	0.361732	11.5	0.016	
* 19	2019-11-20 11:27:08	1		2.99019	100	-0.0204303	11.5	0.019	
* 20	2019-11-20 11:28:34	2		2.98478	100	-0.0607725	11.4864	0.019	
* 21	2019-11-20 11:31:02	1		2.00057	26	-0.0712179	11.6	0.026	
* 22	2019-11-20 11:32:28	2		1.32664	26	-0.027085	11.7	0.03	
* 23	2019-11-20 11:37:08	1		3.47633	24	-0.501948	11.7	0	
* 24	2019-11-20 11:38:34	2		0	24	0	11.7	0.015	
* 25	2019-11-20 11:41:00	1		1.76745	25	-0.381364	12.1	0	
* 26	2019-11-20 11:42:26	2		2.252	25	-0.448227	12.3	0	
* 27	2019-11-20 11:44:48	1		1.75203	79	-0.327539	12.6	0.006	
* 28	2019-11-20 11:46:14	2		0	79	0	12.7	0.003	
* 29	2019-11-20 11:48:49	1		2.9865	9	0.00537123	13	0.035	
* 30	2019-11-20 11:50:15	2		3.23726	9	-0.0618349	13	0.039	
* 31	2019-11-20 11:53:00	1		2.67992	97	-0.197664	13	0.199	
* 32	2019-11-20 11:54:26	2		2.13082	97	-0.240046	13	0.198	
* 33	2019-11-20 11:56:47	1		5.19174	77	-0.659257	13.3	0.002	
* 34	2019-11-20 11:58:13	2		1.68796	77	-0.641568	13.4	0.006	
* 35	2019-11-20 12:00:39	1		2.9403	11	-0.297359	13.4	0.007	
* 36	2019-11-20 12:02:05	2		1.96415	11	-0.322987	13.5	0.008	
* 37	2019-11-20 12:05:15	1		4.90688	23	-0.721522	13.7	0.004	
* 38	2019-11-20 12:06:41	2		4.2029	23	-0.547911	13.8	0.008	
* 39	2019-11-20 12:10:56	1		2.80414	80	-1.58716	13.8	0	
* 40	2019-11-20 12:12:21	2		1.77008	80	-1.53795	13.7	0.002	
* 41	2019-11-20 12:16:35	1		2.29381	28	-0.836894	13.52	-0.003	
* 42	2019-11-20 12:18:01	2		1.74503	28	-0.650364	13.4	0.015	
* 43	2019-11-20 12:20:19	1		1.73093	21	-0.710672	13.4	0	
* 44	2019-11-20 12:21:44	2		1.9514	21	-0.51814	13.3	0.029	
* 45	2019-11-20 12:25:56	1		2.00602	117	-1.54163	13.1	0	
* 46	2019-11-20 12:27:22	2		2.36074	117	-1.8643	13	0.109	
* 47	2019-11-20 12:29:32	1		1.86274	120	-1.47346	12.7	0	
* 48	2019-11-20 12:30:58	2		2.57987	120	-1.85241	12.7	0.006	
* 49	2019-11-20 12:34:47	1		2.55607	119	-3.40107	12.7	0.004	
* 50	2019-11-20 12:36:13	2		4.20121	119	-3.05995	12.6	0.004	
* 51	2019-11-20 12:38:21	1		1.90874	118	-1.62265	12.4	0	
* 52	2019-11-20 12:39:47	2		1.52837	118	-1.44278	12.4	0.015	
* 53	2019-11-20 12:42:37	1		6.03902	123	-3.90597	12.4	-0.0028	
* 54	2019-11-20 12:44:03	2		2.76067	123	-3.21536	12.4	0.007	
* 55	2019-11-20 12:46:36	1		2.58447	122	-4.06345	12.4	-0.002	
* 56	2019-11-20 12:48:02	2		2.09976	122	-3.35215	12.4	0.008	
* 57	2019-11-20 12:50:40	1		3.47483	124	-2.18963	12.4	0.0088	
* 58	2019-11-20 12:52:06	2		0	124	0	12.4	0.006	
* 59	2019-11-20 12:54:31	1		4.79735	121	-1.4596	12.4	0	
* 60	2019-11-20 12:55:57	2		3.14047	121	-1.16756	12.4	0	
* 61	2019-11-20 14:11:06	1			6		15.4	0.029	
* 62	2019-11-20 14:12:32	2			6		15.4	0.029	
* 63	2019-11-20 14:16:28	1		5.27597	6new	-0.452923	15.2	0.032	
* 64	2019-11-20 14:17:54	2		4.17772	6new	-0.40397	15.2	0.03	
* 65	2019-11-20 14:20:57	1		1.91568	93	0.192598	15.1545	-0.0184091	
* 66	2019-11-20 14:22:22	2		2.6345	93	-0.253303	15.2	0.093	
* 67	2019-11-20 14:24:36	1		0	5	0	15	0.048	
* 68	2019-11-20 14:26:01	2		3.79351	5	-6.59739	15.0136	0.067	
* 69	2019-11-20 14:28:49	1		1.9697	76	-0.345432	14.9	0	
* 70	2019-11-20 14:30:15	2		2.12428	76	-0.394168	14.7	0.116	
* 71	2019-11-20 14:32:22	1		2.7316	36	-0.844641	14.7	0.077	
* 72	2019-11-20 14:33:47	2		5.50493	36	-0.534221	14.6	0.072	
* 73	2019-11-20 14:36:45	1		2.79727	16	-0.182085	14.6	0.513	
* 74	2019-11-20 14:38:11	2		2.10394	16	-0.0999212	14.3	0.514	
* 75	2019-11-20 14:40:35	1		1.80704	74	0.0376139	14.1	0.095	
* 76	2019-11-20 14:42:01	2		1.89328	74	-0.0080465	14.0273	0.0982727	
* 77	2019-11-20 14:44:22	1		2.84227	94	0.0021895	13.7	0.046	
* 78	2019-11-20 14:45:48	2		2.47468	94	-0.134712	13.5	0.047	
* 79	2019-11-20 14:48:43	1		2.31187	14	-0.177924	13.3	0.037	
* 80	2019-11-20 14:50:09	2		2.05272	14	-0.102236	13	0.036	
* 81	2019-11-20 14:53:34	1		1.85066	35	-0.249346	12.8	0.08	
* 82	2019-11-20 14:54:59	2		2.05433	35	-0.0333367	12.7	0.0744545	
* 83	2019-11-20 14:57:30	1		2.16757	13	-0.0927628	12.7	0.051	
* 84	2019-11-20 14:58:56	2		2.32912	13	-0.132408	12.7	0.054	
* 85	2019-11-20 15:01:17	1		1.66251	7	-0.070292	12.6	0.052	
* 86	2019-11-20 15:02:43	2		0	7	0	12.6	0.052	
* 87	2019-11-20 15:05:29	1		3.18099	73	0.0149847	12.4	0.026	
* 88	2019-11-20 15:06:54	2		2.31336	73	-0.0517164	12.3	0.038	
* 89	2019-11-20 15:10:33	1		1.9795	15new	-0.866414	12.1	0	
* 90	2019-11-20 15:11:59	2		1.6948	15new	0.15324	12.1	0.043	
* 91	2019-11-20 15:14:18	1		3.1519	96	-0.00403581	12.1	0	
* 92	2019-11-20 15:15:44	2		3.32447	96	0.294656	12	0.004	
* 93	2019-11-20 15:18:13	1		3.70987	34	-0.293378	12	0.016	
* 94	2019-11-20 15:19:39	2		2.99227	34	-1.15388	12	0.013	
* 95	2019-11-20 15:22:20	1		2.50306	75	0.020669	12	0.047	
* 96	2019-11-20 15:23:46	2		2.80473	75	0.240361	11.9	0.047	
* 97	2019-11-20 15:26:17	1		5.20543	8	0.522722	11.7	0.018	
* 98	2019-11-20 15:27:42	2		4.67017	8	0.43911	11.7	0.016	
* 99	2019-11-20 15:30:03	1		6.82923	95	-4.98662	11.7	0.022	
* 100	2019-11-20 15:31:28	2		5.30141	95	-1.82747	11.7	0.005	
* 101	2019-11-20 15:33:42	1		4.25225	33	-0.613653	11.7	0	
* 102	2019-11-20 15:35:08	2		2.64692	33	-0.527406	11.7	0.013	
* 103	2019-11-20 15:38:56	1		4.60952	109	-3.22652	11.7136	-0.000545455	
* 104	2019-11-20 15:40:22	2		2.65363	109	-2.53904	11.6	0.004	
* 105	2019-11-20 15:42:53	1		4.96373	112	-3.62105	11.6	0.002	
* 106	2019-11-20 15:44:18	2		3.20502	112	-3.20961	11.6	0.002	
* 107	2019-11-20 15:46:40	1		16.7542	110	-8.36144	11.6	0	
* 108	2019-11-20 15:48:06	2		8.64437	110	-4.45263	11.5	0	
* 109	2019-11-20 15:50:42	1		4.2378	111	-4.0343	11.5	0	
* 110	2019-11-20 15:52:09	2		3.28218	111	-3.43	11.3	0	
* 111	2019-11-20 15:54:46	1		2.33418	116	-1.57549	11.2	0	
* 112	2019-11-20 15:56:11	2		1.41206	116	-1.2237	11.2	0	
* 113	2019-11-20 16:04:53	1		2.01629	114	-1.8932	11.1	0	
* 114	2019-11-20 16:06:19	2		1.7099	114	-1.29057	11	0	
* 115	2019-11-20 16:08:41	1		2.3204	113	-0.78034	11	0	
* 116	2019-11-20 16:10:07	2		2.51997	113	-0.780338	11	0	
* 117	2019-11-20 16:12:42	1		2.62462	115	-1.81956	11	0	
* 118	2019-11-20 16:14:08	2		2.59767	115	-1.60379	11	0	
