Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2020-02-21 10:36:12	1		-0.0206392	98	0.311641	7.6	0.128	
* 2	2020-02-21 10:37:37	2		0.0379184	98	0.177254	7.3	0.111	
* 3	2020-02-21 10:39:30	1		0.348837	27	20.5673	6.7	0.105	
* 4	2020-02-21 10:40:56	2		0.307513	27	0.11995	6.5	0.114	
* 5	2020-02-21 10:44:17	1		0.494771	22	-0.037014	6.1	0.391	
* 6	2020-02-21 10:45:43	2		0.558046	22	-0.041747	6.1	0.42	
* 7	2020-02-21 10:47:44	1		0.738768	10	-0.437728	6.1	0	
* 8	2020-02-21 10:49:09	2		0.562826	10	-0.36409	6	0.039	
* 9	2020-02-21 10:51:09	1		1.24571	78	-0.1033	5.9	0.302	
* 10	2020-02-21 10:52:35	2		1.5011	78	-0.109552	5.9	0.039	
* 11	2020-02-21 10:54:35	1		1.13391	12	-0.134209	5.9	0	
* 12	2020-02-21 10:56:01	2		1.20125	12	1.45351	5.8	0.0288	
* 13	2020-02-21 10:58:10	1		1.03418	26	-0.133414	5.8	0.012	
* 14	2020-02-21 10:59:36	2		0.965273	26	-0.148654	5.9	0.01	
* 15	2020-02-21 11:01:37	1		1.95148	100	-0.266765	6	0.005	
* 16	2020-02-21 11:03:02	2		2.09115	100	-0.238596	6.06	0.0022	
* 17	2020-02-21 11:05:07	1		0.784804	99	-0.1194	6.2	0.0046	
* 18	2020-02-21 11:06:32	2		1.20167	99	-0.327297	6.3	0	
* 19	2020-02-21 11:09:06	1		1.35319	25	-0.324024	6.6	0	
* 20	2020-02-21 11:10:32	2		2.29967	25	-1.20969	6.6	0	
* 21	2020-02-21 11:12:51	1		0.457147	24	-0.178322	6.6	0	
* 22	2020-02-21 11:14:17	2		0.802745	24	-0.256649	6.6	0	
* 23	2020-02-21 11:16:05	1		1.29713	79	-1.00511	6.6	0	
* 24	2020-02-21 11:17:30	2		2.1671	79	-0.998499	6.6	0	
* 25	2020-02-21 11:19:19	1		1.17658	9	-0.32995	6.7	0	
* 26	2020-02-21 11:20:44	2		1.42539	9	-0.428583	6.7	0	
* 27	2020-02-21 11:22:46	1		0.607647	97	-0.305966	6.6	0	
* 28	2020-02-21 11:24:12	2		0.706248	97	-0.426547	6.5	0.116	
* 29	2020-02-21 11:25:54	1		0.674624	77	-0.253381	6.5	0.132	
* 30	2020-02-21 11:27:19	2		0.502958	77	-0.300713	6.7	0.192	
* 31	2020-02-21 11:29:26	1		1.30186	11	-0.169789	6.9	0	
* 32	2020-02-21 11:30:51	2		0.989777	11	-0.158724	7	0	
* 33	2020-02-21 11:33:05	1		0.495419	21	-0.390453	6.9	6.50521e-19	
* 34	2020-02-21 11:34:31	2		0	21	0	6.9	0.007	
* 35	2020-02-21 11:36:34	1		0.67702	28	-0.422259	6.6	0	
* 36	2020-02-21 11:37:59	2		0.57064	28	-0.400969	6.6	0	
* 37	2020-02-21 11:39:46	1		1.07598	80	-0.993906	6.6	0	
* 38	2020-02-21 11:41:12	2		0.775229	80	-1.16133	6.6	0.003	
* 39	2020-02-21 11:42:53	1		0.688628	23	-0.270648	6.5	0.001	
* 40	2020-02-21 11:44:19	2		1.03735	23	-0.225272	6.4	0	
* 41	2020-02-21 11:46:35	1		1.11735	117	-1.36672	6.3	0	
* 42	2020-02-21 11:48:01	2		1.39517	117	-1.43906	6.22	0	
* 43	2020-02-21 11:49:47	1		0.85617	120	-1.1408	6.6	0	
* 44	2020-02-21 11:51:12	2		1.28965	120	-1.05893	6.7	0.152	
* 45	2020-02-21 11:52:58	1		0	119	0	6.7	0.163636	
* 46	2020-02-21 11:54:23	2		0.714593	119	-1.96452	6.9	0	
* 47	2020-02-21 11:56:22	1		1.10262	118	-0.956254	7	0	
* 48	2020-02-21 11:57:48	2		1.1017	118	-0.772877	6.9	0.001	
* 49	2020-02-21 11:59:40	1		1.14769	121	-1.1314	6.5	0	
* 50	2020-02-21 12:01:05	2		1.34204	121	-1.21863	6.28182	0	
* 51	2020-02-21 12:03:00	1		0.585707	124	-1.09793	6.23333	0	
* 52	2020-02-21 12:04:26	2		0.631473	124	-1.13284	6.1	0	
* 53	2020-02-21 12:06:30	1		0	122	0	6.1	0	
* 54	2020-02-21 12:07:55	2		0.635699	122	-1.92716	6.1	0	
* 55	2020-02-21 12:09:48	1		1.2969	123	-1.85345	6.5	0	
* 56	2020-02-21 12:11:14	2		1.29978	123	-1.84833	6.3	0	
* 57	2020-02-21 12:26:25	1		0.248913	116	-1.8577	5.4	0	
* 58	2020-02-21 12:27:51	2		0.462618	116	-0.666705	5.6	0	
* 59	2020-02-21 12:29:39	1		0.5961	115	-0.850266	6.3	0	
* 60	2020-02-21 12:31:05	2		0.646834	115	-0.829139	6.5	0	
* 61	2020-02-21 12:32:56	1		0	113	0	7.1	0	
* 62	2020-02-21 12:34:22	2		0.696544	113	-0.65159	7.3	0	
* 63	2020-02-21 12:36:06	1		0.695096	114	-0.797843	7.4	0	
* 64	2020-02-21 12:37:32	2		0.500566	114	-0.591617	7.6	0	
* 65	2020-02-21 12:39:39	1		0	111	0	8	0	
* 66	2020-02-21 12:41:04	2		0.989766	111	-2.20083	7.8	0	
* 67	2020-02-21 12:42:47	1		0.56771	110	-0.791174	7.8	0	
* 68	2020-02-21 12:44:12	2		0.65939	110	-2.12578	8.1	0	
* 69	2020-02-21 12:45:59	1		0	109	0	8.22	-0.0324	
* 70	2020-02-21 12:47:24	2		1.03746	109	-1.64756	7.8	0.16	
* 71	2020-02-21 12:49:17	1		0.389362	112	-0.918816	7.6	0	
* 72	2020-02-21 12:50:42	2		0	112	0	7.5	0	
* 73	2020-02-21 12:53:08	1		1.18523	6	-0.691681	7.4	0	
* 74	2020-02-21 12:54:33	2		1.45818	6	-0.743412	7.7	0	
* 75	2020-02-21 12:56:40	1		1.03219	93	0.02599	8.2	0	
* 76	2020-02-21 12:58:05	2		1.22949	93	0.0540275	8	0	
* 77	2020-02-21 13:00:17	1		2.1924	5	-0.849706	7.5	0	
* 78	2020-02-21 13:01:43	2		1.82504	5	-0.795458	7.5	0	
* 79	2020-02-21 13:03:38	1		1.14657	36	-0.148118	7.8	0.09	
* 80	2020-02-21 13:05:04	2		1.01621	36	-0.15621	8.18	0.1062	
* 81	2020-02-21 13:06:53	1		1.37451	76	-0.49075	9.3	0.069	
* 82	2020-02-21 13:08:19	2		1.43547	76	-0.57032	9.9	0.054	
* 83	2020-02-21 13:10:18	1		0.865035	16	-0.0967476	10.2	0.079	
* 84	2020-02-21 13:11:44	2		0.398189	16	-0.0625569	10.2	0.098	
* 85	2020-02-21 13:13:38	1		0.864732	74	-0.99753	10.3	0	
* 86	2020-02-21 13:15:05	2		1.04421	74	-0.10892	10.4	0.004	
* 87	2020-02-21 13:16:49	1		1.54899	94	-0.563718	10.7	0.01	
* 88	2020-02-21 13:18:15	2		1.87624	94	-1.352	10.4	0.078	
* 89	2020-02-21 13:20:16	1		1.10549	14	-0.110539	10.2	0.003	
* 90	2020-02-21 13:21:41	2		1.03731	14	-0.273243	10.2	0.003	
* 91	2020-02-21 13:23:31	1		1.41519	73	-0.0918479	10.1	0.006	
* 92	2020-02-21 13:24:57	2		1.49017	73	-0.165786	9.9	0.008	
* 93	2020-02-21 13:26:57	1		0.521367	7	-0.277255	9.7	0.01	
* 94	2020-02-21 13:28:23	2		0.643982	7	-0.34451	9.6	0.086	
* 95	2020-02-21 13:30:25	1		0	35	0	9.5	0.197	
* 96	2020-02-21 13:31:50	2		1.20422	35	-2.65659	9.3	0.108	
* 97	2020-02-21 13:33:52	1		0.773245	13	-0.14653	9.2	0	
* 98	2020-02-21 13:35:18	2		0.531257	13	-0.271737	9.2	0.044	
* 99	2020-02-21 13:37:14	1		0.247368	15	-0.00255294	9.1	0.112	
* 100	2020-02-21 13:38:39	2		0.470871	15	-0.0144533	9.1	0.118	
* 101	2020-02-21 13:40:37	1		0.696459	96	0.00156672	8.9	0	
* 102	2020-02-21 13:42:02	2		1.10459	96	0.0374733	8.54	0.1112	
* 103	2020-02-21 13:43:48	1		0.535334	34	-0.232533	8.2	0.005	
* 104	2020-02-21 13:45:14	2		1.08823	34	-0.331327	7.7	0.125	
* 105	2020-02-21 13:46:52	1		1.39578	75	-0.0096385	7.6	0.13	
* 106	2020-02-21 13:48:17	2		1.28411	75	0.0429384	7.5	0.008	
* 107	2020-02-21 13:50:52	1		1.80322	8	-0.279454	7.4	0	
