Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2020-03-26 08:17:31	1		1.35737	116	-1.09083	12.6	0.013	
* 2	2020-03-26 08:18:56	2		0	116	0	12.1091	0.00954545	
* 3	2020-03-26 08:22:31	1		1.7086	115	-1.61038	10.7	0.003	
* 4	2020-03-26 08:23:56	2		1.88154	115	-1.03503	10.3091	0.00354545	
* 5	2020-03-26 08:26:32	1		5.53366	113	-1.31981	9.3	0.003	
* 6	2020-03-26 08:27:58	2		2.68269	113	-3.19496	9.03333	0.001	
* 7	2020-03-26 08:30:08	1		4.00698	114	-1.28975	8.5	0.001	
* 8	2020-03-26 08:31:34	2		1.52751	114	-2.78249	8.3	0.001	
* 9	2020-03-26 08:33:59	1		12.7987	111	-12.3094	8.16	0	
* 10	2020-03-26 08:35:24	2		3.14455	111	-8.33361	7.6	0	
* 11	2020-03-26 08:37:43	1		3.71322	110	-1.9381	7.5	0	
* 12	2020-03-26 08:39:09	2		3.17051	110	-1.4844	7.5	0	
* 13	2020-03-26 08:41:18	1		2.50535	109	-1.82967	7.5	0	
* 14	2020-03-26 08:42:44	2		2.22689	109	-1.64034	7.6	0	
* 15	2020-03-26 08:44:47	1		2.47938	112	-1.861	7.6	0	
* 16	2020-03-26 08:46:13	2		1.89766	112	-1.59893	7.4	0	
* 17	2020-03-26 08:49:11	1		2.08296	6	-0.681994	7.5	0	
* 18	2020-03-26 08:50:37	2		2.27457	6	-0.814099	7.6	0	
* 19	2020-03-26 08:53:15	1		2.2009	5	-0.664552	7.7	0	
* 20	2020-03-26 08:54:41	2		2.00013	5	-0.805429	8	0	
* 21	2020-03-26 08:56:55	1		6.11099	36	-0.181597	8.1	0	
* 22	2020-03-26 08:58:21	2		2.45493	36	0.0547147	8	0	
* 23	2020-03-26 09:00:54	1		4.60963	76	-0.712182	8	0	
* 24	2020-03-26 09:02:19	2		3.64339	76	-0.53455	7.8	0	
* 25	2020-03-26 09:04:44	1		1.89884	16	-0.250272	7.8	0	
* 26	2020-03-26 09:06:10	2		2.37552	16	-0.126427	8.4	0	
* 27	2020-03-26 09:08:17	1		1.85492	74	-0.244771	8.6	0.158	
* 28	2020-03-26 09:09:43	2		1.68453	74	-0.0678564	8.6	0.139	
* 29	2020-03-26 09:11:45	1		2.1156	14	-0.131735	8.6	0	
* 30	2020-03-26 09:13:10	2		2.42692	14	-0.537215	8.6	0	
* 31	2020-03-26 09:15:15	1		2.48965	35	-0.00250814	8.9	0	
* 32	2020-03-26 09:16:40	2		1.65149	35	0.00255089	9.1	0	
* 33	2020-03-26 09:18:35	1		2.32251	13	-0.189913	9.5	0	
* 34	2020-03-26 09:20:01	2		2.02861	13	-0.22869	9.80667	0	
* 35	2020-03-26 09:22:20	1		1.38864	7	-0.253124	10.6	0	
* 36	2020-03-26 09:23:45	2		1.36866	7	-0.17072	10.6	0	
* 37	2020-03-26 09:25:47	1		3.67379	73	-0.106292	10.6	0	
* 38	2020-03-26 09:27:13	2		2.92144	73	-0.68318	10.7	0	
* 39	2020-03-26 09:29:27	1		1.35458	15	-0.0462102	10.7	0	
* 40	2020-03-26 09:30:52	2		1.59231	15	-0.0038391	10.7	0	
* 41	2020-03-26 09:33:13	1		1.47074	34	-0.151635	10.6	0	
* 42	2020-03-26 09:34:38	2		1.36852	34	-0.174694	10.6	0	
* 43	2020-03-26 09:36:37	1		4.91847	75	2.38423	10.6	0	
* 44	2020-03-26 09:38:02	2		2.65874	75	0.0312521	10.6	0	
* 45	2020-03-26 09:40:15	1		5.94647	8	-0.420456	10.8	0	
* 46	2020-03-26 09:41:41	2		4.70392	8	-0.396838	10.7	0	
* 47	2020-03-26 09:43:58	1		8.64038	33	-0.93772	10.6	0	
* 48	2020-03-26 09:45:23	2		3.75318	33	-0.629786	10.4	0	
* 49	2020-03-26 09:59:00	1		2.8033	27	1.17035	10.6	0	
* 50	2020-03-26 10:00:26	2		1.48906	27	0.193528	10.7	0	
* 51	2020-03-26 10:02:36	1		2.94515	22	-0.191255	10.8	0	
* 52	2020-03-26 10:04:02	2		1.6632	22	-0.0959203	10.8	0	
* 53	2020-03-26 10:06:10	1		2.51179	10	-0.27278	10.8	0	
* 54	2020-03-26 10:07:36	2		1.53669	10	-0.323309	11	0	
* 55	2020-03-26 10:09:31	1		1.86312	78	0.114816	11	0	
* 56	2020-03-26 10:10:56	2		3.0342	78	-0.0307962	11	0	
* 57	2020-03-26 10:13:02	1		0	12	0	11	0	
* 58	2020-03-26 10:14:28	2		0.92904	12	-0.202956	11	0	
* 59	2020-03-26 10:16:17	1		1.30663	26	-0.177075	10.8	0	
* 60	2020-03-26 10:17:42	2		1.58543	26	-0.134763	10.8	0	
* 61	2020-03-26 10:19:31	1		0	24	0	10.8	0	
* 62	2020-03-26 10:20:56	2		2.88731	24	-0.622777	10.84	0	
* 63	2020-03-26 10:22:50	1		1.75466	25	-0.191604	10.7	0	
* 64	2020-03-26 10:24:16	2		1.95311	25	-0.315089	11.1	0	
* 65	2020-03-26 10:26:16	1		2.52181	79	-0.684192	11.3	0	
* 66	2020-03-26 10:27:42	2		2.26297	79	-0.682976	11.6	0	
* 67	2020-03-26 10:29:27	1		1.75691	9	-0.177947	12.3	0	
* 68	2020-03-26 10:30:53	2		1.6146	9	-0.265953	12.6591	0	
* 69	2020-03-26 10:32:43	1		0.654873	77	-0.132279	13.3	0	
