Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2019-11-21 12:02:36	103	9-0	0.001	0.008	12.8	2.2116	-1.30543	
2019-11-21 12:04:01	103	9-0	0.001	0.008	12.6	2.06292	-1.33915	
2019-11-21 12:06:13	40	9-2	0	0.004	12.4	1.75467	-1.74725	
2019-11-21 12:07:39	40	9-2	0.001	0.006	12.3	1.8364	-1.15503	
2019-11-21 12:09:46	84	9-0	0.001	0.006	11.94	5.35933	-2.35629	
2019-11-21 12:11:11	84	9-0	0	0.012	11.7	2.5148	-2.11554	
2019-11-21 12:13:36	68	8-6	0	0	11.6	2.32914	-1.55833	
2019-11-21 12:15:01	68	8-6	0	0.003	11.3	2.2697	-1.5141	
2019-11-21 12:17:44	102	9-1	0	0	11.1	1.9537	-1.58133	
2019-11-21 12:19:10	102	9-1	0	0.009	11.1	2.20995	-1.46088	
2019-11-21 12:21:15	65	8-5	0	0.007	11	2.4963	-1.09542	
2019-11-21 12:22:41	65	8-5	0	0.009	11	2.34258	-1.23882	
2019-11-21 12:25:01	38	8-3	0	0.009	11	3.155	-1.60784	
2019-11-21 12:26:27	38	8-3	0	0.011	11	2.72005	-1.62974	
2019-11-21 12:29:06	47	8-6	0	0.011	10.8	3.6685	-1.50596	
2019-11-21 12:30:32	47	8-6	0.001	0.011	10.8	2.12045	-1.40358	
2019-11-21 12:33:31	83	8-5	0	0	10.8	2.99466	-1.75839	
2019-11-21 12:34:56	83	8-5	0.016	0.131	10.8	2.11436	-1.51983	
2019-11-21 12:37:01	48	8-5	0	0.009	11	1.88829	-1.20874	
2019-11-21 12:38:26	48	8-5	0	0.011	11.1	1.95354	-1.18776	
2019-11-21 12:41:07	104	8-5	0	0	11.1	3.21724	-4.02237	
2019-11-21 12:42:33	104	8-5	0	0	11.1	2.69477	-1.67937	
2019-11-21 12:45:18	66	9-0	0	0.001	11.2	2.7798	-1.9769	
2019-11-21 12:46:43	66	9-0	0.001	0.003	11.2	2.67152	-1.47232	
2019-11-21 12:48:41	82	8-8	0	0.003	11.2	1.43136	-3.78296	
2019-11-21 12:50:06	82	8-8	0	0.011	11.2	2.05904	-1.49878	
2019-11-21 12:52:13	37	8-7	0	0	11.2	10.1364	-3.70959	
2019-11-21 12:53:39	37	8-7	0	0	11.2	5.1752	-2.71246	
2019-11-21 12:57:39	56	8-7	0	0.013	11.1	2.02471	-1.78207	
2019-11-21 12:59:04	56	8-7	0	0.011	11.1	1.82558	-1.90157	
2019-11-21 13:01:46	106	8-7	0.0012	-0.001	11.1	2.41567	-1.23528	
2019-11-21 13:03:12	106	8-7	0	0.007	11.1	2.34901	-1.14754	
2019-11-21 13:05:13	44	8-9	0	0	11.1	2.93478	-1.63856	
2019-11-21 13:06:39	44	8-9	0	0	11.1	2.01863	-1.27906	
2019-11-21 13:08:55	88	8-8	0	0.003	11.1	1.80476	-0.835175	
2019-11-21 13:10:20	88	8-8	0	0.003	11.1	2.78757	-1.23416	
2019-11-21 13:12:32	57	8-4	0	0	11.1	4.94853	-2.20404	
2019-11-21 13:13:58	57	8-4	0	0.011	11.1	4.10472	-1.37302	
2019-11-21 13:16:29	86	8-6	0	0	11	2.10751	-1.11164	
2019-11-21 13:17:54	86	8-6	0	0.004	11.1	1.65803	-1.027	
2019-11-21 13:20:13	55	8-8	0	0.006	11	1.92263	-0.987604	
2019-11-21 13:21:38	55	8-8	0	0.006	11	1.82241	-1.00398	
2019-11-21 13:23:56	105	8-7	0	0.004	11	1.48677	-1.10229	
2019-11-21 13:25:22	105	8-7	0	0.004	10.8	1.51765	-1.15901	
2019-11-21 13:28:17	43	8-9	0	0.006	10.8	2.28352	-1.53842	
2019-11-21 13:29:42	43	8-9	0	0.006	10.8	1.90031	-1.37722	
2019-11-21 13:32:07	58	9-1	0	0	11	4.25519	-4.6235	
2019-11-21 13:33:33	58	9-1	0	0	11	2.67983	-1.12199	
2019-11-21 13:35:56	85	9-3	0	0	11	1.99168	-1.75381	
2019-11-21 13:37:22	85	9-3	0	0	11	2.18406	-1.75925	
2019-11-21 13:39:51	60	8-8	2.71051e-19	9.75782e-19	11	2.31377	-1.54363	
2019-11-21 13:41:17	60	8-8	0.001	0.003	11	2.45541	-1.73424	
2019-11-21 13:43:43	107	9-0	0	0	11.1	1.85886	-0.579288	
2019-11-21 13:45:09	107	9-0	0	0.009	11.2	1.64817	-0.7209	
2019-11-21 13:47:24	41	8-7	0	0	11.1	4.14512	-4.3182	
2019-11-21 13:48:50	41	8-7	0	0	11.1	3.10334	-1.84632	
2019-11-21 13:51:14	59	8-8	0	0.005	11	2.78789	-0.950047	
2019-11-21 13:52:39	59	8-8	0	0.005	11.1	2.04452	-0.806545	
2019-11-21 13:55:10	87	9-0	0	0.006	11.1	1.51844	-1.39751	
2019-11-21 13:56:35	87	9-0	0	0.006	11.1	1.4251	-1.24762	
2019-11-21 13:59:06	42	8-7	0	0	11	3.16491	-2.36456	
2019-11-21 14:00:32	42	8-7	0	0	11.1	2.64546	-2.18617	
2019-11-21 14:02:42	53	8-8	0	0	11.1	2.91679	-1.14402	
2019-11-21 14:04:08	53	8-8	0	0.006	11	1.94683	-0.888977	
2019-11-21 14:06:10	108	8-9	0	0.01	11	2.09548	-1.30044	
2019-11-21 14:07:35	108	8-9	0	0.008	10.8	1.71671	-1.30439	
2019-11-21 14:09:54	54	8-7	0	0.0032	10.8	3.98022	-8.51924	
2019-11-21 14:11:19	54	8-7	0	0	10.7	2.50893	-2.76856	
