Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 1	2019-11-06 09:55:03	1		7.48979	50	64.4314	15.1	0.501	
* 2	2019-11-06 09:56:28	2		1.69984	50	-0.0768817	14.4	0.498	
* 3	2019-11-06 09:58:53	1		1.41261	52	-1.11982	14	0	
* 4	2019-11-06 10:00:19	2		1.59192	52	-0.301923	13.4	0.524	
* 5	2019-11-06 10:02:33	1		1.08382	29	0.732635	13	0.584	
* 6	2019-11-06 10:03:59	2		0.763912	29	0.621645	12.7	0.583	
* 7	2019-11-06 10:06:59	1		3.9362	90	0.0788534	12.1	0.582	
* 8	2019-11-06 10:08:24	2		1.99795	90	0.0848688	11.9	0.525	
* 9	2019-11-06 10:14:29	1		7.23948	4	-0.920149	12	0.074	
* 10	2019-11-06 10:15:55	2		4.3281	4	-0.604254	11.9	0.259	
* 11	2019-11-06 10:21:36	1		2.84356	64	-0.434177	11.7	0.069	
* 12	2019-11-06 10:23:02	2		0	64	0	11.7	0.0735909	
* 13	2019-11-06 10:26:08	1		4.85334	2	-0.767374	11.7	0.241	
* 14	2019-11-06 10:27:33	2		2.22072	2	-0.41279	11.7	0.242	
* 15	2019-11-06 10:30:41	1		6.24409	30	-0.426503	11.7	0.071	
* 16	2019-11-06 10:32:07	2		3.507	30	-0.517892	11.9	0.0734	
* 17	2019-11-06 10:35:13	1		2.54931	72	-0.120529	11.9	0.091	
* 18	2019-11-06 10:36:39	2		2.43469	72	-0.145007	11.9	0.092	
* 19	2019-11-06 10:39:09	1		3.71075	19	-0.237587	12	0.0296	
* 20	2019-11-06 10:40:35	2		1.86574	19	-0.139597	12.1	0.095	
* 21	2019-11-06 10:43:24	1		7.84765	91	2.6933	12.1	0.099	
* 22	2019-11-06 10:44:50	2		2.89332	91	1.19646	12.1	0.106	
* 23	2019-11-06 10:48:03	1		3.6326	63	0.182527	12	-0.0253636	
* 24	2019-11-06 10:49:29	2		2.04231	63	0.0367631	12	0.096	
* 25	2019-11-06 10:52:04	1		6.80074	17	1.51684	12	0.0754	
* 26	2019-11-06 10:53:29	2		3.13509	17	0.69029	12	0.074	
* 27	2019-11-06 10:56:18	1		2.87349	92	-2.07511	12	0.082	
* 28	2019-11-06 10:57:44	2		3.13504	92	-0.266548	12	0.079	
* 29	2019-11-06 11:00:17	1		4.04784	71	11.8477	12	0	
* 30	2019-11-06 11:01:42	2		2.36064	71	5.77962	12	0	
* 31	2019-11-06 11:04:26	1		2.42073	71new	6.61206	12	0.072	
* 32	2019-11-06 11:05:51	2		2.47467	71new	5.39247	12.1	0.096	
* 33	2019-11-06 11:08:41	1		2.45871	1	0.921257	12.1	0	
* 34	2019-11-06 11:10:07	2		3.3347	1	1.36239	12.06	0.0846	
* 35	2019-11-06 11:13:43	1		3.25436	69	1.31926	12.1	0.327	
* 36	2019-11-06 11:15:08	2		2.90596	69	-0.00141617	12.1364	0.334364	
* 37	2019-11-06 11:17:36	1		1.62354	62	-0.00947351	12.1	0.052	
* 38	2019-11-06 11:19:01	2		1.79794	62	-0.00985624	12.1	0.052	
* 39	2019-11-06 11:21:31	1		7.65841	32	-0.559188	12	0.066	
* 40	2019-11-06 11:22:56	2		0	32	0	12.1	0.067	
* 41	2019-11-06 11:26:07	1		3.37718	89new	4.23967	12.28	-0.0154	
* 42	2019-11-06 11:27:33	2		3.17308	89new	3.24415	12.4	0.077	
* 43	2019-11-06 11:29:46	1		3.06074	49	1.88689	12.4	0.087	
* 44	2019-11-06 11:31:12	2		3.80698	49	2.06673	12.4	0.091	
* 45	2019-11-06 11:34:00	1		3.48652	70	-0.673381	12.1	0.126	
* 46	2019-11-06 11:35:26	2		3.06285	70	-0.471687	12.3	0.431	
* 47	2019-11-06 11:39:00	1		1.2685	51	0.0051084	12.4	0.069	
* 48	2019-11-06 11:40:26	2		1.08669	51	-2.10828	12.7	0.071	
* 49	2019-11-06 11:42:56	1		3.35331	61	-0.248987	12.8	0	
* 50	2019-11-06 11:44:23	2		3.40085	61	-0.195969	13	0.031	
