Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	soilp_t_IV	soilp_m_IV	
* 78	2019-11-04 15:10:25	1		1.00582	35	-0.0266881	15.7	0.016	
* 79	2019-11-04 15:11:51	2		1.15336	35	0.0735877	15.5	0.37	
* 80	2019-11-04 15:14:17	1		1.32695	13	-0.112789	15.5	0.016	
* 81	2019-11-04 15:15:43	2		1.2861	13	-0.0910741	15.4	0.275	
* 82	2019-11-04 15:18:10	1		1.59547	7	-0.0948961	15.4	0.357	
* 83	2019-11-04 15:19:35	2		0.646697	7	-0.0764516	15.4	0.362	
* 84	2019-11-04 15:22:36	1		6.14425	73	-0.182498	15.4	0	
* 85	2019-11-04 15:24:02	2		3.64141	73	-0.853412	15.4	0.319	
* 86	2019-11-04 15:26:44	1		1.44477	15	-0.017648	15.3467	0.0522667	
* 87	2019-11-04 15:28:10	2		1.14147	15	-0.0211634	15.2	0.197	
* 88	2019-11-04 15:30:41	1		1.84794	96	-0.00578058	15.2667	0.166667	
* 89	2019-11-04 15:32:08	2		2.54597	96	0.0199029	15	0.298	
* 90	2019-11-04 15:34:13	1		1.30976	34	-0.126324	14.9	0	
* 91	2019-11-04 15:35:39	2		1.8245	34	-0.188612	14.98	0	
* 92	2019-11-04 15:37:27	1		1.55439	34new	-0.177766	14.7	0	
* 93	2019-11-04 15:38:53	2		1.52402	34new	-0.250573	14.7	0.158	
* 94	2019-11-04 15:41:29	1		2.13876	75	0.0760428	14.7	0	
* 95	2019-11-04 15:42:55	2		2.12939	75	0.201346	14.7	0.435	
* 96	2019-11-04 15:45:18	1		4.7414	8	-0.182323	14.6	0	
* 97	2019-11-04 15:46:44	2		2.85292	8	-0.158808	14.6267	0.265333	
* 98	2019-11-04 15:48:48	1		2.96877	95	-1.27743	14.7	0.148	
* 99	2019-11-04 15:50:13	2		2.94494	95	-1.23792	14.7	0.154	
* 100	2019-11-04 15:52:25	1		5.86174	33	-1.63441	14.6	0.014	
* 101	2019-11-04 15:53:51	2		3.56843	33	-0.375142	14.7	0.316	
* 102	2019-11-04 15:57:16	1		0	109	0	14.7	0.049	
* 103	2019-11-04 15:58:42	2		0	109	0	14.6	0.15	
* 104	2019-11-04 16:00:43	1		1.06995	112	-1.26056	14.6	0.148	
* 105	2019-11-04 16:02:09	2		1.33408	112	-1.30715	14.4	0.232	
* 106	2019-11-04 16:04:35	1		0	110	0	14.3	0.011	
* 107	2019-11-04 16:06:01	2		1.59851	110	-0.851362	14.1	0.17	
* 108	2019-11-04 16:08:08	1		1.65064	111	-2.06899	14	0.158	
* 109	2019-11-04 16:09:35	2		2.16142	111	-2.1752	14	0.163	
* 110	2019-11-04 16:12:46	1		1.58935	114	-0.811121	13.8	0.221	
* 111	2019-11-04 16:14:12	2		1.60032	114	-0.961864	13.7	0.225	
* 112	2019-11-04 16:16:11	1		0.828427	113	-0.279121	13.7	0.01	
* 113	2019-11-04 16:17:37	2		1.36861	113	-0.379776	13.7	0.1774	
* 114	2019-11-04 16:19:50	1		1.00441	115	-0.796872	13.7	0.176	
* 115	2019-11-04 16:21:16	2		1.42417	115	-0.986058	13.5	0.18	
* 116	2019-11-04 16:23:34	1		0.78017	116	-0.75307	13.5	0	
* 117	2019-11-04 16:24:59	2		0.810796	116	-0.960627	13.5	0.183	
