Date_IV	File Name	Comments	soilp_c_IV	soilp_m_IV	soilp_t_IV	Exp_Flux	Exp_Flux[2]	
2020-01-14 14:51:00	115		0	0.0551818	11.7545	3.61576	-1.66923	
2020-01-14 14:52:25	115		0	0.037	11.3	1.13564	-0.914984	
2020-01-14 14:54:24	114		0	0.021	11.1	1.5216	-1.57814	
2020-01-14 14:55:49	114		0	0.014	10.8	0.736859	-0.881472	
2020-01-14 14:57:29	113		0	0	10.6	5.52674	-1.19362	
2020-01-14 14:58:54	113		0	0.015	10.4	1.71283	-0.689733	
2020-01-14 15:01:00	116		0	0	10.3	3.86919	-1.51299	
2020-01-14 15:02:25	116		0	0	10.2	2.19606	-1.13722	
2020-01-14 15:04:41	111		0	0	10.1	5.52216	-3.69014	
2020-01-14 15:06:05	111		0	0	9.88182	3.94246	-2.407	
2020-01-14 15:08:02	110		0	0	9.8	3.92503	-2.3357	
2020-01-14 15:09:27	110		0	0	9.7	2.65125	-1.34763	
2020-01-14 15:11:18	109		0	0	9.7	10.8679	-3.77138	
2020-01-14 15:12:44	109		0	0	9.7	4.37912	-2.55856	
2020-01-14 15:14:29	112		0	0	9.6	3.44925	-2.69965	
2020-01-14 15:15:54	112		0	0	9.6	3.5258	-1.78673	
2020-01-14 15:22:16	6		0	0	9.5	5.44524	-0.452822	
2020-01-14 15:23:42	6		0	0	9.5	2.93689	-0.595764	
2020-01-14 15:25:41	5		0	0	9.5	4.90868	-6.65518	
2020-01-14 15:27:07	5		0	0.003	9.5	4.59446	-0.824619	
2020-01-14 15:29:10	36		0	0.002	9.3	2.16339	-0.148175	
2020-01-14 15:30:36	36		0	0.002	9.3	4.42257	-0.0655	
2020-01-14 15:32:31	76		0	0.002	9.2	3.36617	-0.795582	
2020-01-14 15:33:57	76		0	0.002	9.2	2.22634	-0.28143	
2020-01-14 15:35:54	16		0	0.002	9.2	2.06974	-0.574784	
2020-01-14 15:37:20	16		0.001	0.016	9.1	1.57963	-0.179131	
2020-01-14 15:39:09	74		0	0	9.1	1.80381	-0.121861	
2020-01-14 15:40:35	74		0	0	9.1	1.88792	-0.117027	
2020-01-14 15:42:38	14		0	0	9.1	3.2782	-0.0590028	
2020-01-14 15:44:03	14		0	0	9.1	2.06726	-0.125804	
2020-01-14 15:46:05	73		0	0	9.2	9.47742	-1.61993	
2020-01-14 15:47:30	73		0	0	9.2	3.11222	-0.467252	
2020-01-14 15:49:18	7		0	0.001	9.2	3.08168	-0.626354	
2020-01-14 15:50:43	7		0	0	9.2	5.23813	-0.50653	
2020-01-14 15:52:48	13		0	0	9.2	5.5684	-0.911677	
2020-01-14 15:54:13	13		0	0	9.2	2.32808	-0.289733	
2020-01-14 15:56:06	15		0	0	9.2	1.28326	0.643559	
2020-01-14 15:57:31	15		0	0	9.2	3.09288	0.0503753	
2020-01-14 15:59:17	34		0	0	9.3	3.74397	-0.28253	
2020-01-14 16:00:43	34		0	0	9.2	1.41787	-0.213745	
2020-01-14 16:02:43	75		0	0	9.3	3.92759	-0.0529956	
2020-01-14 16:04:09	75		0	0	9.2	2.45518	0.310633	
2020-01-14 16:06:15	8		0	0	9.2	13.1112	-1.94205	
2020-01-14 16:07:40	8		0	0	9.2	5.25232	-0.601715	
2020-01-14 16:10:07	33		0	0	9.24	3.11312	-0.686827	
2020-01-14 16:11:32	33		0	0	9.2	2.37731	-0.871815	
2020-01-14 16:14:33	35		0	0.003	9.2	3.62673	-0.262889	
2020-01-14 16:15:58	35		0	0.003	9.08636	2.05966	-0.0183922	
